TCGA.S9.A6U1	TCGA.HT.7483	TCGA.VW.A7QS	TCGA.HT.A5RA	TCGA.DH.A66G	TCGA.P5.A5EX	TCGA.DH.A7UR	TCGA.HT.7604	TCGA.IK.8125	TCGA.HT.A61C	TCGA.HT.A74K	TCGA.DB.A4XD	TCGA.HT.7477	TCGA.S9.A6TX	TCGA.DB.A75K	TCGA.HT.A619	TCGA.FN.7833	TCGA.HT.8114
ENSG00000002586	16889	16685	7940	36322	18840	43975	2599	19739	10014	16152	12088	21871	4657	15540	6288	1091	53656	35921
ENSG00000002587	1215	933	138	4016	1095	792	160	879	289	361	257	1203	3124	217	420	121	2503	4915
ENSG00000002726	1	0	1	2	0	13	11	2	4	7	8	1	1	4	1	2	7	1
ENSG00000002745	3	27	8	1719	18	3	8	20	26	39	1	2	6	4	6	0	3	77
ENSG00000002746	517	1193	460	722	1473	16	1037	826	2304	437	314	617	199	357	558	1499	495	1071
ENSG00000002822	2320	1740	760	1464	1173	1290	2182	2497	1532	3736	2632	1120	2174	2349	2171	2366	1553	2266
ENSG00000002834	12549	14909	9544	9043	10815	9626	12045	12610	15997	18302	7807	7950	9636	11459	14513	8590	11278	17938
ENSG00000002919	1385	1753	1834	1524	1176	1177	1456	1307	1736	1652	1388	1111	1189	1373	1939	1353	2104	2906
ENSG00000002933	618	402	167	434	993	1744	425	194	1369	2378	1743	422	758	664	263	51	1667	1566
ENSG00000003056	2684	3374	3332	2911	2764	3283	1935	6342	3979	2379	884	2042	2964	2568	3016	2973	4211	5742
ENSG00000003096	1388	2702	1257	1039	1147	973	455	3191	1894	983	231	1158	1152	1171	956	1366	776	2216
ENSG00000003137	102	165	63	1081	405	40	208	68	759	196	107	74	119	84	327	31	38	119
ENSG00000003147	481	574	310	388	976	210	744	337	1107	1343	379	214	940	460	554	428	473	774
ENSG00000003249	540	602	1418	2822	2408	2565	1677	832	1689	2346	1336	203	1152	1285	1175	1059	586	671
ENSG00000003393	2431	2556	2509	2458	2764	1746	1776	2773	3600	1977	732	2031	1796	2049	2234	2822	2629	4930
ENSG00000003400	353	384	124	339	244	415	669	211	443	185	138	171	426	347	361	252	773	906
ENSG00000003402	3109	2694	1795	4058	3699	2668	2904	3425	4292	2544	1480	2358	2986	2963	2666	1908	3653	6507
ENSG00000003436	1024	1192	251	2194	3889	424	242	2040	255	398	105	919	1836	157	115	204	517	4783
ENSG00000003509	547	521	892	481	622	398	666	459	788	835	369	448	389	570	611	708	499	1038
ENSG00000003756	11025	5664	8634	3035	5833	2991	10109	7704	8783	6786	4238	6680	8585	8011	10149	8028	10102	15571
ENSG00000003987	292	449	883	73	949	209	647	1320	1424	406	216	170	242	680	181	824	757	1822
ENSG00000003989	951	1234	1927	168	1280	1750	694	5274	1934	601	302	2512	915	573	734	447	2993	4304
ENSG00000004059	4521	5937	8930	6639	4155	4697	6280	7359	6182	11272	8422	3893	5826	5560	6677	7070	5133	12641
ENSG00000004139	2639	1633	1922	1130	1307	602	1721	1815	1769	1167	677	1613	1469	1545	1947	2261	1285	2016
ENSG00000004142	7142	8379	8543	7037	4831	5285	7032	8370	8030	8339	6588	4413	6316	6864	8775	6362	6687	10509
ENSG00000004399	5329	4772	2181	9018	4466	7878	7382	5129	7008	7700	7504	3026	5133	4472	5855	1738	5027	6236
ENSG00000004455	3453	4575	3165	4996	2752	2715	2202	4507	2513	3635	2793	2355	5086	2203	3297	1357	4728	6934
ENSG00000004468	4817	3656	3033	1332	4897	807	725	7326	7117	1153	928	5530	4396	1471	1875	56	9108	15589
ENSG00000004478	5455	6380	7092	4098	3838	5467	4901	15050	6892	7322	5576	4088	9289	8736	5716	5357	4196	6536
ENSG00000004487	9610	8668	3813	4907	4742	1785	4055	9492	4565	4613	2668	6708	9712	3643	3321	3969	7330	10475
ENSG00000004534	8882	4071	9650	2354	6075	2231	11313	7002	6431	8267	4785	4325	5610	8833	16239	6379	6858	12972
ENSG00000004660	915	881	374	895	3657	301	2217	586	3643	832	413	473	1042	459	446	100	410	1429
ENSG00000004700	1036	1360	886	1779	980	810	906	1891	1592	989	89	718	1169	670	744	1334	1032	2212
ENSG00000004766	2074	1633	1229	1958	2005	1146	1548	2995	2459	1294	483	1620	1523	1164	988	2794	1876	3288
ENSG00000004776	92	875	77	3851	257	422	248	1071	532	1809	452	563	2139	1130	709	27	588	1628
ENSG00000004777	4926	4127	3540	3911	3251	731	5476	4126	4819	9030	2610	3849	8822	5698	4704	4121	3088	5687
ENSG00000004779	2174	2218	3401	2212	1289	2210	2762	2106	2757	3933	3639	1409	2443	2072	2140	2097	1783	3551
ENSG00000004799	26609	1264	1011	1840	2635	685	1587	5780	2164	2287	1747	13086	1094	11406	4235	2157	2398	16904
ENSG00000004809	3	0	4	7	3	1	4	22	5	2	3	2	14	4	4	1	2	9
ENSG00000004838	129	87	353	222	96	151	370	129	218	480	134	169	118	123	339	105	143	265
ENSG00000004846	0	0	2	9	3	19	0	0	1	5	14	9	0	0	1	1	0	29
ENSG00000004848	37	178	12	8	378	170	261	45	272	125	33	15	122	14	39	5	19	130
ENSG00000004864	1614	1040	1173	1815	714	857	821	1930	1490	1776	876	1020	1328	1528	1273	3145	1148	1753
ENSG00000004866	2462	3408	4301	2188	2245	2969	2035	4019	3106	34206	2060	2121	2252	2888	2546	2540	2753	6671
ENSG00000004897	3667	4086	2722	3349	2962	2584	3104	4173	4259	3298	1287	2912	3553	1930	1892	3176	3557	5599
ENSG00000004939	15	4	4	2	5	53	6	2	15	16	17	2	11	15	17	3	3	6
ENSG00000004948	4	11	1	4	14	104	1	12	13	1	2	2	6	3	1	4	19	35
ENSG00000004961	553	946	895	898	708	706	660	616	1068	896	376	519	576	646	646	834	678	1262
ENSG00000004975	3809	2717	3264	2895	2018	2119	6029	3749	3219	2898	1802	2574	4840	3681	4427	3723	3094	4823
ENSG00000005001	0	1	7	3	11	0	1	0	3	1	0	0	0	0	0	3	0	0
ENSG00000005007	9425	6560	7374	13838	6542	6026	7369	8520	7595	6861	3766	7931	8945	7846	8266	5090	8150	12179
ENSG00000005020	898	771	100	1824	1233	889	295	732	1131	672	228	600	518	580	579	84	1683	2749
ENSG00000005022	8382	14608	12803	10426	4896	7776	9126	11985	28452	10507	21850	7801	6145	17945	9650	13347	8194	18887
ENSG00000005059	163	111	270	3131	435	903	133	198	199	895	279	121	236	146	376	33	420	944
ENSG00000005073	115	2	1	61	2	2	1	6	0	128	0	29	2	0	0	0	161	0
ENSG00000005075	1914	2194	2978	3605	1339	2583	1911	3641	2303	4241	4291	1719	2382	2215	2701	2108	2074	6367
ENSG00000005100	2832	2346	3045	2237	2224	1394	2361	3573	3696	1902	1168	2361	3600	1959	2142	2992	2267	4422
ENSG00000005102	2	3	0	1	1	2	0	0	4	18	4	2	0	3	1	0	1	0
ENSG00000005108	1180	2141	1094	1123	1417	1044	1069	4845	3559	1331	748	1374	659	1524	1748	5631	894	2280
ENSG00000005156	2204	1942	1625	1769	1241	869	1219	2103	1884	1441	510	1210	1735	1245	1190	1541	1473	1796
ENSG00000005175	1224	1519	1114	2320	1560	1368	1061	1321	1836	1464	424	1027	1587	731	784	1200	1358	2177
ENSG00000005187	33	11	19	37	21	15	25	18	39	18	11	24	22	21	27	13	23	115
ENSG00000005189	506	462	362	378	243	236	1283	865	695	781	555	195	1105	386	337	667	334	510
ENSG00000005194	3032	3802	3873	3301	1914	1738	2973	3385	3492	4934	2916	2148	4328	2825	2771	3204	2550	4527
ENSG00000005206	3997	2455	4812	8081	2625	1680	5171	3311	5001	5283	4610	3505	10479	5847	6137	5384	3108	4407
ENSG00000005238	1864	2648	3230	1649	2142	2073	1257	2059	2074	2695	1982	1436	1756	2353	2799	1053	2268	5938
ENSG00000005243	230	539	342	593	284	2149	450	465	361	811	688	264	220	584	436	98	759	1172
ENSG00000005249	445	1325	1410	1488	1604	891	1856	846	2742	1711	534	555	1032	863	780	3283	620	1611
ENSG00000005302	1501	1536	981	1405	1471	1185	1235	1224	1934	1566	551	1239	1265	980	1368	1085	2021	2937
ENSG00000005339	9664	7122	7123	6474	8531	5671	13173	11859	10113	3974	2731	8134	9205	8977	13464	10075	9809	14171
ENSG00000005379	3849	3324	4309	2891	6389	898	4904	4636	12937	1829	1595	3976	3227	7592	14525	5487	6340	11388
ENSG00000005381	1	72	3	84	31	10	52	1	58	41	18	3	22	12	12	1	10	20
ENSG00000005421	36	67	28	5	37	25	26	53	81	6	41	108	14	59	13	53	45	132
ENSG00000005436	675	885	708	1014	606	550	694	1146	1295	919	407	936	1154	687	818	582	1269	1702
ENSG00000005448	1145	1069	1678	1274	781	586	1538	1813	854	2463	2503	875	1307	815	1101	1164	1026	2322
ENSG00000005469	1230	3097	695	4916	1762	1304	1116	1435	1409	1367	355	1275	786	594	645	770	975	2762
ENSG00000005471	133	147	202	233	75	154	409	131	160	238	191	85	167	192	128	217	63	342
ENSG00000005483	5975	7851	8014	3873	5391	3033	4907	12620	8327	2416	1443	6978	6119	5506	5468	8014	7508	16950
ENSG00000005486	7415	9037	10915	10215	9091	12394	7912	7893	9719	12448	11035	4081	7659	7358	8034	8261	7499	11910
ENSG00000005513	63302	33383	26547	4837	17409	761	60394	70162	45078	13323	75046	68443	46286	65229	60472	101737	40374	76187
ENSG00000005700	3599	4332	3193	3381	2339	2134	2909	3664	4611	1993	1147	2540	3329	2727	1711	3609	3103	5663
ENSG00000005801	2165	1933	2273	1070	1114	768	2249	2294	2449	1909	996	1689	981	1352	1431	2497	1751	2589
ENSG00000005810	4654	7162	4157	3590	7423	3120	4769	7461	13757	2290	1421	4685	4180	4323	4682	5324	8104	13750
ENSG00000005812	2987	3528	2752	3252	3053	2617	2794	3812	4285	1944	1174	2997	2283	2481	2511	4158	3413	6007
ENSG00000005844	301	253	43	456	307	861	117	230	247	718	106	180	470	196	812	78	1167	1125
ENSG00000005882	2119	2156	2156	1892	1995	2117	1985	2640	2817	1169	1041	1472	1344	2132	3751	1472	2878	5130
ENSG00000005884	1316	1448	3793	6831	2940	7862	1763	1640	1408	5979	2012	604	1138	2030	4889	915	1809	3862
ENSG00000005889	2929	2150	1726	2657	3707	1561	2725	2336	2086	1135	702	1888	1236	1159	2110	1257	2235	3100
ENSG00000005893	13577	16258	13638	13497	10912	15140	5953	13905	17087	6980	6646	10601	6318	14211	11006	7033	13147	29579
ENSG00000005961	136	94	223	54	90	83	229	134	195	88	124	89	113	176	326	170	42	254
ENSG00000005981	44	33	11	13	37	9	76	46	205	1105	37	87	33	35	133	74	28	64
ENSG00000006007	3785	4626	2401	5807	3895	4835	3310	4435	5643	4322	3037	3371	3951	4056	3663	2706	3699	8629
ENSG00000006015	1329	562	1212	1788	659	1513	2284	766	944	2998	1999	1203	1726	1560	2602	1431	1071	1609
ENSG00000006016	2476	69	119	2617	298	18106	1498	450	2288	103	349	1638	169	2311	1317	56	2483	1366
ENSG00000006025	1688	985	2203	946	1446	832	1932	1837	1796	1589	1243	1297	1167	2139	3044	2019	1855	3078
ENSG00000006042	3944	3279	992	2457	333	2328	2517	2171	2349	3859	1897	1820	1155	2315	2064	756	2061	3738
ENSG00000006047	44	16	82	112	39	4	10	56	31	178	16	15	17	44	50	6	14	18
ENSG00000006059	3	1	2	11	0	0	0	1	3	1	0	20	0	0	3	1	48	23
ENSG00000006062	928	1099	1244	1720	2998	1430	689	1083	974	1653	544	713	1404	1223	1761	380	1472	2518
ENSG00000006071	1385	399	4416	573	1380	1056	1666	2469	4464	225	1240	1354	289	9507	8296	2169	374	5372
ENSG00000006116	42	824	785	1	1717	19	508	22	997	100	35	8	175	37	262	17	26	283
ENSG00000006118	7926	9690	10780	11654	10449	15076	5958	3537	12947	9543	11769	6594	7145	16203	10726	4711	5039	17797
ENSG00000006125	34925	53405	30548	16060	40242	21202	24063	42272	54173	18931	19827	30461	22724	29096	25329	32333	30115	71456
ENSG00000006128	19	6112	95	0	1967	11	206	16	1293	95	12	37	43	24	140	40	15	1074
ENSG00000006194	1568	1795	3286	1883	1479	1717	3767	2014	2363	2536	1412	1393	2191	2433	3181	1720	1967	2572
ENSG00000006210	5612	12829	4975	19622	8048	6284	5046	7619	6101	6877	4615	3801	10216	6317	8942	4037	7211	16030
ENSG00000006282	1389	1276	1062	8913	2922	1917	8844	308	5673	1126	3110	1456	1366	4011	2146	3937	1018	3204
ENSG00000006283	298	1011	1839	841	2077	139	877	169	2795	1988	362	122	344	402	1949	234	285	527
ENSG00000006327	137	342	2103	3565	1260	5169	204	254	140	5131	478	95	1188	200	890	104	335	560
ENSG00000006377	124	66	2	4	73	7	734	1427	64	4	214	167	11	54	9	14	7	68
ENSG00000006432	274	1147	251	617	1440	84	675	304	1283	480	192	140	258	834	393	83	200	711
ENSG00000006451	4631	6250	7261	3184	3357	4987	3736	4577	5575	4528	2294	3661	4340	3838	2992	6865	3671	7834
ENSG00000006453	31	88	37	46	51	46	97	41	59	33	29	27	34	54	62	48	48	85
ENSG00000006459	2249	1827	6896	1030	1740	877	1199	3516	2811	933	394	3265	1266	1302	1281	2594	1862	6410
ENSG00000006468	48399	24268	1943	10863	14661	1240	20372	49150	33532	9184	13287	28893	27221	14533	19702	54218	17750	29239
ENSG00000006530	1870	2591	3120	2040	1961	1207	1685	2919	2577	2296	687	1981	1943	1681	1546	2011	2373	4655
ENSG00000006534	583	398	631	552	801	2124	496	589	719	1033	874	325	1088	1094	997	581	1308	1630
ENSG00000006555	11	3	7	8	13	4	12	1	3	2	0	0	4	0	4	0	5	3
ENSG00000006576	1279	1650	1345	1229	951	563	1670	1275	1710	1736	800	992	1815	1127	956	2831	1271	1589
ENSG00000006606	3	5	9	25	4	11	2	9	3	10	8	2	0	15	24	0	9	32
ENSG00000006607	2077	1793	2039	1740	1379	952	1811	2727	3164	2207	667	1683	3565	1837	1495	1999	1809	2456
ENSG00000006611	3564	665	700	57	1015	226	1118	6039	5363	340	3499	3748	476	5821	4667	26	3883	16329
ENSG00000006625	878	1279	1420	1415	803	1149	1476	1167	1666	3292	1294	633	1182	1043	962	1585	884	1542
ENSG00000006634	517	628	408	995	314	231	871	1028	581	1804	210	541	1693	300	256	734	456	517
ENSG00000006638	165	81	62	225	103	264	580	123	88	209	399	90	186	95	262	232	84	102
ENSG00000006652	2542	3137	5497	6303	2550	4147	2162	4058	3165	4813	1459	3106	4982	2294	2051	4299	2794	6093
ENSG00000006659	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	5	0
ENSG00000006695	703	934	988	555	505	472	640	759	984	755	432	581	747	741	698	753	560	953
ENSG00000006704	2023	2374	3036	1437	1435	1660	1681	2304	1971	2557	1653	1529	1855	2627	2469	1989	1804	3675
ENSG00000006712	5767	4172	2857	5919	3279	2527	3928	5510	3548	6607	6746	3847	4424	5189	5583	2236	6328	7883
ENSG00000006715	5843	5926	4004	4525	4985	3531	4958	5937	9261	5611	2419	4777	5136	4636	4098	7215	5913	12410
ENSG00000006740	687	1356	308	78	1508	192	892	309	1918	322	265	324	373	668	794	458	438	764
ENSG00000006744	4395	4452	4820	3993	3597	4231	4300	4481	4762	4330	3818	3327	4627	4463	5881	3598	4716	7228
ENSG00000006747	1129	897	31	634	2802	2276	53	764	862	2595	316	911	912	528	824	62	5531	2557
ENSG00000006756	375	398	573	3744	382	1193	482	168	976	1506	371	198	719	279	686	344	597	709
ENSG00000006757	392	269	43	778	380	439	466	106	410	541	241	124	134	121	167	43	127	244
ENSG00000006788	1	2	1	0	1	0	4	0	2	2	0	0	1	1	3	0	4	1
ENSG00000006831	8381	4636	5855	5775	5061	5905	5910	25268	10368	4576	4952	12924	4746	15019	11073	3735	9001	22446
ENSG00000006837	143	143	206	106	100	124	176	174	197	208	99	105	138	135	108	173	136	241
ENSG00000007001	47	188	27	33	136	80	52	66	125	26	31	113	53	47	15	58	23	239
ENSG00000007038	0	1	2	4	2	8	2	0	1	6	3	2	0	1	7	1	4	1
ENSG00000007047	3937	4051	2578	3246	2306	1333	2942	3143	2969	3683	1836	2834	2950	3593	3119	2149	3058	4980
ENSG00000007062	772	912	244	435	240	249	841	563	639	5097	85	194	691	438	267	767	359	709
ENSG00000007080	3874	2838	4760	5397	2156	3004	5270	3963	3977	5834	9188	3231	5228	5742	6219	3657	2990	5030
ENSG00000007129	154	33	21	66	66	98	76	93	85	123	86	87	65	36	85	19	226	154
ENSG00000007168	18183	22189	13881	13819	18083	8981	15126	18710	25135	13251	6808	13597	17201	11780	12773	16858	14589	28790
ENSG00000007171	66	245	133	288	75	136	179	116	184	98	130	246	143	133	220	33	46	201
ENSG00000007174	281	61	189	1769	236	414	455	252	866	766	160	345	365	172	294	54	440	508
ENSG00000007202	10599	8674	8672	9661	8937	8166	8982	13690	11483	6646	4173	7135	8679	6999	8487	8204	9865	15166
ENSG00000007216	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000007237	6543	5471	387	6757	17760	2884	3736	3406	15633	3940	2761	5318	19922	8060	5664	704	8294	12022
ENSG00000007255	1110	1327	628	1070	386	519	1632	1169	605	692	1877	610	662	997	708	673	683	1805
ENSG00000007264	276	362	35	36	641	260	722	235	469	291	199	139	357	243	342	59	65	205
ENSG00000007306	0	2	3	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	5	10	10	256	6	63	26	8	25	42	66	1	23	10	26	20	31	34
ENSG00000007314	3	9	7	102	4	3	7	8	29	1	5	4	16	8	9	7	2	5
ENSG00000007341	649	705	450	747	396	388	473	994	560	658	288	484	939	424	476	406	736	1283
ENSG00000007350	174	326	151	172	513	19	13	180	100	33	11	128	187	82	101	14	140	3579
ENSG00000007372	2572	3455	981	2180	1719	1241	1423	4421	3094	674	644	3094	1569	1518	1162	655	4882	4584
ENSG00000007376	1252	991	1009	1421	776	1154	1809	2726	1208	2414	1963	1040	1961	1087	1787	1513	1173	1797
ENSG00000007384	1095	604	823	931	533	1107	609	306	935	1912	491	757	1200	627	505	212	954	765
ENSG00000007392	5681	1998	6407	2600	3276	2884	7011	3724	5328	7313	4974	3322	3883	5242	6733	5671	3893	5391
ENSG00000007402	1387	1115	1365	55	753	55	1188	538	1186	329	316	592	167	1005	657	351	874	1343
ENSG00000007516	8711	2177	889	1650	5595	2204	2201	3632	2974	4724	918	3556	2213	483	2408	374	15855	12710
ENSG00000007520	3075	2473	2789	2415	1941	4794	4116	3729	3305	4350	7732	1915	2701	3353	4878	3531	3183	4248
ENSG00000007541	3946	2145	3356	3909	3442	6774	3886	4254	3223	5188	4090	2981	2989	3103	5333	3390	3137	6727
ENSG00000007545	2004	1531	1925	975	1698	1006	2619	1941	2022	1523	1073	1670	2056	1870	2500	2172	1670	2706
ENSG00000007866	131	101	131	997	185	389	189	67	130	907	187	41	184	336	182	52	64	281
ENSG00000007908	2	1043	1	16	31	64	18	2	46	4	1	1	59	2	31	0	66	5
ENSG00000007923	2315	2267	1338	963	1745	697	1391	2446	1863	1209	464	1583	1849	1480	1736	1343	2171	3137
ENSG00000007933	59	151	126	37	33	46	132	59	158	29	51	26	47	145	106	191	195	220
ENSG00000007944	958	633	708	695	564	706	697	2056	1110	849	560	944	1067	1453	845	563	1235	2349
ENSG00000007952	85	85	112	90	40	62	79	110	60	95	81	81	94	81	46	74	84	136
ENSG00000007968	466	380	59	283	110	21	281	616	125	1016	121	111	2058	157	133	178	214	142
ENSG00000008018	5311	6264	5678	7945	3389	7548	6456	6173	6246	10488	7076	3411	6718	4520	5529	3740	3957	9443
ENSG00000008056	840	3247	8406	372	13094	346	10601	815	13227	2589	4874	628	2069	6332	6707	4975	1148	3265
ENSG00000008083	3358	3181	1388	2045	2034	694	1259	3726	3411	1585	828	3467	2559	3053	1885	1215	2905	5231
ENSG00000008086	977	1649	372	744	3925	609	790	795	3516	709	210	750	831	593	508	266	809	2119
ENSG00000008118	12	761	4	16	829	25	579	15	1408	72	10	5	179	121	159	15	3	227
ENSG00000008128	210	187	320	345	299	141	410	396	240	360	194	140	434	347	817	218	470	525
ENSG00000008130	3369	2805	1764	4752	2571	1772	2108	3888	1974	2505	947	2507	3307	1796	2461	1856	3296	6290
ENSG00000008196	0	4	8	136	0	0	0	1	3	2	38	0	5	0	0	106	0	8
ENSG00000008197	0	2	0	0	1	0	0	0	8	0	0	0	0	0	1	0	0	0
ENSG00000008226	144	104	158	134	560	368	63	264	112	243	41	203	128	113	160	15	2298	1746
ENSG00000008256	2859	3422	2203	3493	2558	2109	4302	2669	3771	2704	1582	1713	2802	2427	2271	3244	2343	4245
ENSG00000008277	7964	15170	7291	4957	8193	3526	12790	19227	16924	2635	2531	9134	4982	7676	9961	17057	8961	17317
ENSG00000008282	5053	4124	1654	9243	3466	4264	2638	6542	4659	2089	1724	4280	2719	3618	2058	2628	4164	10687
ENSG00000008283	423	861	268	2693	1206	1391	1289	685	1172	1242	410	331	796	228	516	244	793	1209
ENSG00000008294	29686	19741	16777	13012	20271	13577	16462	30060	34615	13352	5924	22933	12979	15734	14752	27631	22953	53151
ENSG00000008300	2499	1994	10905	447	4368	216	11494	2471	9989	2625	3310	1672	1225	7954	8908	8573	2938	5022
ENSG00000008311	1942	1731	2060	7308	2618	958	637	3380	1670	398	119	2209	1836	1140	1712	1645	2683	4983
ENSG00000008323	6	6	4	21	14	7	1	11	5	12	5	2	5	4	12	2	21	11
ENSG00000008324	760	955	1228	436	493	722	1128	878	907	1018	810	608	674	878	878	610	929	2137
ENSG00000008382	1129	698	997	828	788	645	1259	1265	1099	1122	1881	1024	1104	794	1312	1337	817	1160
ENSG00000008394	1203	3227	239	2768	2240	2396	1468	4199	4655	5351	2395	1833	861	817	1256	77	3238	7143
ENSG00000008405	2034	2002	3468	2817	1605	1321	2003	1344	2811	1416	671	1417	2035	1988	2200	2687	2434	3736
ENSG00000008438	0	4	5	0	4	1	2	4	1	1	0	5	7	3	9	1	2	10
ENSG00000008441	47540	32127	40519	36837	32084	15825	44757	40151	37560	7199	16674	44118	31375	41054	40447	24733	40380	79282
ENSG00000008513	1166	1924	1250	1160	1632	1288	1887	1053	1707	902	489	498	1744	1012	1296	766	1004	2021
ENSG00000008516	273	106	143	513	76	186	995	125	200	182	326	134	416	175	364	304	49	370
ENSG00000008517	357	272	445	638	98	1250	1369	46	352	517	478	110	658	303	1027	363	131	211
ENSG00000008710	8066	4715	42148	10858	9130	9886	18751	7832	11869	6501	6650	6270	11276	10620	16332	11044	6488	11843
ENSG00000008735	3183	3363	8981	1516	6431	2012	9065	5605	10233	3780	6938	2638	1913	7189	13084	6394	3675	5764
ENSG00000008838	10721	7094	7402	4429	6328	3447	8701	9264	8574	7632	4454	5785	7825	7139	10339	6500	8444	10459
ENSG00000008853	2772	2572	1380	1470	3356	1711	4183	2209	5108	4062	2311	1627	2888	2528	3287	2782	2331	3318
ENSG00000008869	2584	2271	2383	1851	2826	1615	2840	3281	3857	1312	469	2273	1610	1708	2082	2667	2676	5738
ENSG00000008952	11504	14137	8730	17929	9714	12975	8209	15793	16735	6184	8264	9979	11447	11254	8202	8619	10311	19360
ENSG00000008988	24477	25963	22862	15599	11693	26569	43791	38351	36403	26658	57708	19569	35852	33938	30392	38884	19437	46420
ENSG00000009307	27088	33044	11401	20507	19992	15909	13699	36142	18292	18729	7168	20790	26966	13144	10812	10123	25402	48729
ENSG00000009335	3379	3285	5198	5183	3680	2874	3168	4550	4725	4459	1306	3102	3494	2575	2926	5277	3398	8388
ENSG00000009413	4352	5068	3845	5894	4572	1620	4053	4111	8679	6882	923	4011	10922	4673	2683	3756	5215	8649
ENSG00000009694	420	1867	702	2111	679	173	162	294	1706	1999	251	535	203	947	1577	1451	307	2194
ENSG00000009709	6	14	0	1	61	3	16	3	50	9	0	0	11	3	1	0	1	3
ENSG00000009724	243	147	134	45	187	15	131	184	158	54	4	150	263	83	107	95	230	199
ENSG00000009765	1	0	3	1	0	2	0	2	1	1	0	0	2	0	0	2	1	2
ENSG00000009780	768	765	397	933	780	302	542	849	574	421	261	832	631	454	413	395	1071	1313
ENSG00000009790	115	54	17	156	117	227	63	68	153	160	43	48	76	66	86	18	321	552
ENSG00000009830	3081	3591	1407	3115	2655	1585	3510	3468	2791	2481	1924	2929	3965	2826	4693	2602	4276	5964
ENSG00000009844	3639	4472	4393	3854	2949	2382	3514	4622	4830	3399	1538	3223	2738	2871	3165	2346	2011	5941
ENSG00000009950	267	237	40	111	518	385	365	259	437	782	141	181	357	227	790	4	570	1239
ENSG00000009954	8014	9131	6474	11500	5964	5582	6581	10075	8957	9603	2709	6734	7251	6773	6465	8099	8530	13322
ENSG00000010017	3792	3831	3893	5487	3704	3415	3205	2325	4223	4053	1395	2828	4771	2515	2602	2684	3526	6566
ENSG00000010030	13	30	6	424	39	61	61	15	60	245	31	6	39	16	78	21	323	54
ENSG00000010072	751	885	918	923	640	488	508	888	1031	695	243	634	749	616	615	631	729	1409
