TCGA.A6.A565	TCGA.A6.2671	TCGA.AA.A02K	TCGA.AZ.4682	TCGA.AA.3973	TCGA.A6.5664	TCGA.A6.A566	TCGA.AZ.6600	TCGA.AA.3680	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.CM.4748	TCGA.AA.3692
ENSG00000230331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230333	15	4	3	7	5	5	23	4	0	4	4	4	2	5
ENSG00000230335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230337	19	11	13	15	5	15	6	10	9	13	13	9	6	14
ENSG00000230338	5	0	0	0	0	1	3	5	0	2	0	0	0	0
ENSG00000230339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230342	8	0	0	0	3	3	8	0	0	0	0	0	2	0
ENSG00000230343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230350	1	1	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230352	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230353	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230355	1	0	0	2	1	2	0	0	0	0	1	0	1	4
ENSG00000230356	7	13	68	38	4	12	25	1	1	0	0	0	3	21
ENSG00000230358	7	0	9	4	3	1	4	1	3	1	4	4	1	1
ENSG00000230359	25	23	24	19	4	9	9	12	3	12	10	2	1	15
ENSG00000230360	1	3	0	3	0	2	1	0	0	0	5	1	2	2
ENSG00000230361	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230362	32	9	24	11	0	7	25	13	1	3	4	2	1	4
ENSG00000230364	15	8	1	16	11	7	6	3	4	4	5	3	0	9
ENSG00000230365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230366	6	2	17	5	6	3	1	8	1	4	0	10	2	4
ENSG00000230368	0	0	0	5	0	2	0	0	1	1	1	0	1	0
ENSG00000230370	5	0	1	1	0	2	2	1	1	2	1	1	1	2
ENSG00000230371	0	1	1	3	10	2	0	1	0	1	0	1	1	2
ENSG00000230373	26	6	23	2	4	8	11	3	2	5	2	2	1	1
ENSG00000230375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230379	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230381	2	0	0	1	0	0	0	0	0	3	0	0	0	0
ENSG00000230383	34	30	32	66	25	16	27	9	5	25	15	9	13	29
ENSG00000230384	1	0	1	0	0	0	0	0	0	1	1	0	3	0
ENSG00000230385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230387	27	0	1	0	0	4	2	2	0	4	0	0	19	0
ENSG00000230390	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000230391	0	0	0	1	0	0	0	0	0	0	0	1	0	2
ENSG00000230392	0	0	0	0	0	0	0	0	0	0	1	0	9	0
ENSG00000230393	1	1	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000230395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230397	0	0	1	1	0	0	1	0	0	0	0	0	0	0
ENSG00000230398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230399	2	0	2	0	1	1	1	0	0	2	0	4	0	0
ENSG00000230400	5	0	0	2	1	0	3	0	0	5	0	1	4	0
ENSG00000230401	0	0	0	1	0	0	0	0	0	0	0	1	2	1
ENSG00000230402	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000230403	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230404	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230405	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000230406	1	3	0	1	0	0	0	0	0	0	2	0	0	1
ENSG00000230407	0	0	0	0	0	1	1	1	0	0	0	0	0	0
ENSG00000230408	4	17	1	0	0	2	0	0	0	2	3	2	0	4
ENSG00000230409	83	34	55	68	19	104	80	82	4	95	9	12	2	39
ENSG00000230411	1	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000230412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230415	17	2	5	11	0	7	2	0	4	1	2	1	0	3
ENSG00000230416	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230417	0	2	0	1	0	3	2	0	1	1	1	2	4	0
ENSG00000230418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230424	23	7	18	15	4	17	13	12	4	18	2	3	2	4
ENSG00000230425	6	1	5	0	0	0	2	0	0	0	1	0	1	0
ENSG00000230426	0	0	225	1	0	68	0	0	16	1	0	0	0	135
ENSG00000230427	2	0	1	0	0	3	0	1	0	0	0	0	0	0
ENSG00000230428	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000230430	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230432	3	0	2	2	0	3	4	0	0	0	0	0	2	1
ENSG00000230433	6	1	9	1	0	0	3	1	1	2	2	1	0	0
ENSG00000230434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230435	4	0	2	0	0	2	5	0	0	0	0	0	0	0
ENSG00000230437	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230438	318	5	19	26	17	168	24	27	15	176	11	29	1	4
ENSG00000230440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230442	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230444	0	1	1	1	0	0	0	0	0	0	1	0	0	1
ENSG00000230445	38	9	88	17	20	21	18	15	20	11	11	9	2	15
ENSG00000230447	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230448	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230449	5	2	1	6	5	0	1	1	0	2	1	0	0	2
ENSG00000230450	0	2	1	5	0	1	1	0	0	1	1	0	1	0
ENSG00000230451	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000230452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230453	33	2	0	1	14	1	0	2	0	7	0	0	0	66
ENSG00000230454	73	22	20	5	12	20	23	9	14	22	18	5	11	30
ENSG00000230457	26	51	18	16	7	18	15	4	9	7	24	8	1	19
ENSG00000230458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230459	1	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230461	39	45	51	20	131	69	3	9	28	15	26	43	13	123
ENSG00000230465	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230469	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000230470	2	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230472	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230476	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230478	1	2	0	2	2	0	3	0	0	1	2	0	1	2
ENSG00000230479	39	7	7	0	7	15	82	2	0	15	1	1	1	5
ENSG00000230480	0	8	1	2	0	2	0	1	0	0	4	1	0	1
ENSG00000230481	10	0	1	4	0	5	2	29	7	1	11	0	0	3
ENSG00000230482	8	5	1	0	0	0	0	2	1	1	0	0	0	7
ENSG00000230483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230487	239	259	451	172	24	145	221	245	79	83	40	47	16	165
ENSG00000230489	7	1	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000230490	16	3	0	18	3	9	3	15	3	3	5	11	1	14
ENSG00000230491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230492	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000230495	8	1	1	3	0	2	3	6	0	2	0	0	0	0
ENSG00000230496	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230497	1	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000230498	4	0	2	0	1	1	10	3	0	0	0	0	0	1
ENSG00000230499	11	1	5	3	0	4	15	0	0	2	0	1	0	4
ENSG00000230500	0	0	0	0	0	1	1	1	0	1	1	0	2	0
ENSG00000230501	24	2	7	1	2	6	5	4	7	0	0	0	0	3
ENSG00000230502	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230506	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230507	6	6	3	5	10	1	4	0	2	1	12	1	2	7
ENSG00000230508	14	37	20	30	19	6	14	4	3	10	16	7	1	71
ENSG00000230510	14	8	19	9	5	11	14	15	1	5	4	9	15	3
ENSG00000230513	80	14	85	61	29	37	53	116	62	27	35	9	5	24
ENSG00000230515	1	0	1	0	0	0	0	2	0	0	1	0	0	0
ENSG00000230516	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230519	21	0	0	1	2	6	3	1	29	2	0	1	0	2
ENSG00000230520	0	2	0	0	0	0	0	0	0	0	2	0	0	1
ENSG00000230521	282	126	195	268	380	80	34	75	149	158	107	127	6	47
ENSG00000230522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230524	8	5	49	6	14	10	5	1	4	1	1	14	0	4
ENSG00000230525	1	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000230526	0	1	0	0	0	2	4	0	0	0	0	0	0	3
ENSG00000230528	3	1	0	2	0	0	0	3	1	0	0	0	0	0
ENSG00000230529	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000230530	11	2	1	2	0	5	1	1	5	2	0	1	0	4
ENSG00000230531	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230533	37	1	4	2	0	10	7	3	3	8	0	1	0	23
ENSG00000230534	6	0	35	1	1	0	1	1	2	0	1	0	0	1
ENSG00000230535	0	0	15	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230536	10	0	4	0	4	2	1	1	0	2	1	0	0	0
ENSG00000230537	52	1	50	8	4	5	7	6	0	8	1	2	0	10
ENSG00000230538	0	1	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230539	6	0	22	2	2	3	2	4	2	0	1	2	0	0
ENSG00000230542	5	1	0	1	1	5	0	4	0	2	1	1	1	0
ENSG00000230543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230547	3	2	2	0	0	3	1	1	0	1	1	0	0	0
ENSG00000230548	0	0	0	0	0	1	0	0	0	0	2	0	1	0
ENSG00000230549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230550	0	0	0	0	1	0	1	0	0	0	0	0	1	0
ENSG00000230551	2206	59	925	430	236	694	672	761	230	647	356	294	8	347
ENSG00000230552	2	1	0	0	0	1	2	1	1	30	3	0	1	0
ENSG00000230555	51	33	51	11	5	54	46	44	24	15	11	10	0	8
ENSG00000230556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230558	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230559	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000230561	59	4	116	41	30	46	19	6	16	27	41	14	1	46
ENSG00000230562	6	0	0	2	0	1	5	2	0	0	1	0	0	1
ENSG00000230563	1	4	2	8	32	3	18	5	1	1	1	8	0	18
ENSG00000230564	1	0	1	0	0	0	0	0	1	0	0	0	0	1
ENSG00000230565	52	9	70	15	14	18	26	15	5	20	6	7	0	11
ENSG00000230568	2	12	1	2	3	1	3	0	1	3	3	4	0	8
ENSG00000230569	0	0	3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230570	6	0	0	0	0	1	0	0	0	0	0	0	5	0
ENSG00000230571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230573	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000230575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230576	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230578	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000230580	13	54	14	12	12	10	8	0	3	4	24	5	1	27
ENSG00000230581	32	42	17	18	1	12	15	24	4	8	19	3	2	16
ENSG00000230583	7	3	3	1	0	0	2	0	1	0	0	0	0	1
ENSG00000230584	1	19	0	3	4	0	2	0	0	1	6	4	2	7
ENSG00000230585	5	3	2	1	3	5	4	1	2	1	3	3	0	5
ENSG00000230587	31	4	8	7	3	18	0	10	6	2	1	2	1	0
ENSG00000230589	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230590	126	30	337	113	131	78	84	51	28	115	70	64	6	38
ENSG00000230592	8	6	4	11	6	4	6	3	4	5	12	5	8	13
ENSG00000230593	6	0	5	7	0	0	3	4	0	1	4	0	0	5
ENSG00000230594	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230595	1	0	0	1	0	0	0	0	0	1	0	0	0	2
ENSG00000230596	5	0	0	2	0	3	7	0	0	0	0	0	0	0
ENSG00000230597	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230598	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230601	1	0	2	1	2	1	1	0	0	1	0	0	0	1
ENSG00000230603	1	8	0	0	0	0	1	0	0	0	4	0	0	0
ENSG00000230604	0	1	2	0	0	1	0	1	0	0	0	0	0	1
ENSG00000230605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230606	58	5	14	11	13	7	7	13	0	6	1	1	1	2
ENSG00000230607	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230611	2	0	4	1	0	2	2	0	2	0	0	0	2	0
ENSG00000230612	10	0	13	4	3	4	4	1	0	1	1	2	1	1
ENSG00000230613	6	1	14	6	3	9	3	6	0	3	4	1	0	6
ENSG00000230614	2	1	0	2	1	2	1	0	1	1	2	0	1	2
ENSG00000230615	43	19	84	39	11	31	37	16	6	8	9	6	3	13
ENSG00000230617	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230618	0	0	0	1	0	0	1	1	0	1	0	0	0	2
ENSG00000230621	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230622	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230623	2	1	2	1	0	1	3	0	0	0	0	0	0	0
ENSG00000230626	24	136	20	28	21	12	16	8	7	4	48	15	11	15
ENSG00000230627	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230628	1	2	6	0	0	0	0	1	2	3	1	0	1	2
ENSG00000230629	77	193	85	156	207	54	61	45	48	31	349	72	7	305
ENSG00000230630	194	30	35	63	14	175	234	56	18	68	15	28	2	51
ENSG00000230631	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230634	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230635	47	0	0	5	3	0	10	18	0	2	0	0	0	3
ENSG00000230636	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230637	15	1	5	0	0	0	1	2	0	4	0	0	2	0
ENSG00000230638	36	7	4	11	4	18	9	8	4	57	3	38	6	14
ENSG00000230639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230641	2	0	0	3	0	1	1	2	0	1	0	0	0	0
ENSG00000230643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230645	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000230646	0	0	0	1	1	2	0	1	0	0	0	0	1	0
ENSG00000230647	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000230648	0	0	13	1	0	0	1	3	0	2	0	1	0	0
ENSG00000230649	3	0	0	0	0	0	3	0	0	0	0	0	0	1
ENSG00000230650	28	8	423	12	3	18	29	6	13	13	10	1	0	33
ENSG00000230651	0	0	0	1	0	1	0	0	0	0	0	0	1	0
ENSG00000230654	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230655	1	0	1	2	0	0	0	0	0	2	0	1	0	0
ENSG00000230657	6	0	0	0	1	0	0	1	0	1	0	1	2	0
ENSG00000230658	0	0	17	34	22	9	14	16	0	43	0	3	0	10
ENSG00000230659	0	2	0	2	1	2	1	0	0	0	1	0	0	1
ENSG00000230661	1	0	3	0	0	1	0	1	0	4	0	2	0	0
ENSG00000230662	0	2	1	0	0	1	0	0	2	0	2	0	0	0
ENSG00000230663	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230665	0	0	0	1	0	3	0	0	0	0	0	0	0	5
ENSG00000230666	88	1	7	4	0	3	11	5	0	0	9	0	11	0
ENSG00000230667	6	49	4	4	8	10	4	1	0	5	13	1	3	6
ENSG00000230668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230671	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230673	35	118	39	17	39	6	25	7	12	40	29	8	7	80
ENSG00000230676	0	4	1	2	0	0	2	0	0	0	1	0	2	0
ENSG00000230679	9	0	7	5	0	2	5	5	2	3	1	2	0	3
ENSG00000230680	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230681	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000230682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230683	4	0	0	0	2	1	1	4	0	1	0	0	1	0
ENSG00000230684	2	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000230686	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230691	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ENSG00000230694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230695	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230696	1	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000230697	1	1	1	0	0	0	0	2	0	0	3	0	0	0
ENSG00000230698	8	5	1	1	0	0	1	5	0	4	1	0	0	0
ENSG00000230699	7	10	12	2	0	7	14	0	6	1	0	0	3	0
ENSG00000230701	69	18	35	26	6	20	26	19	11	13	3	5	6	13
ENSG00000230702	0	1	0	0	0	0	0	1	0	0	1	0	2	0
ENSG00000230703	5	2	19	0	1	0	0	0	0	1	0	0	0	3
ENSG00000230704	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230707	1	0	0	0	0	0	0	1	0	0	0	0	3	0
ENSG00000230709	8	1	0	0	0	0	2	10	2	0	1	0	4	4
ENSG00000230710	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000230711	1	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000230712	9	0	0	1	0	3	1	2	0	1	1	0	1	1
ENSG00000230714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230715	590	28	537	158	77	183	244	183	36	370	74	51	0	92
ENSG00000230716	60	13	20	11	1	33	16	29	1	16	10	3	3	4
ENSG00000230718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230721	11	3	4	16	1	7	13	1	1	6	3	4	0	4
ENSG00000230724	51	11	32	14	16	21	17	13	19	23	13	5	0	12
ENSG00000230725	5	3	0	12	14	1	0	0	4	0	5	0	0	6
ENSG00000230727	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230728	3	0	3	0	3	3	1	3	0	1	0	1	3	4
ENSG00000230729	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000230730	2	2	1	1	0	2	1	0	0	11	0	1	0	3
ENSG00000230731	185	1	45	34	4	2	107	7	7	332	22	26	5	15
ENSG00000230732	18	9	17	5	14	13	7	30	2	9	3	1	1	5
ENSG00000230733	617	837	524	525	78	319	312	427	155	527	171	213	21	140
ENSG00000230734	15	48	33	93	21	11	7	11	2	28	28	6	10	27
ENSG00000230735	6	0	2	1	0	2	2	5	0	2	0	0	0	0
ENSG00000230736	21	5	2	6	2	8	1	15	0	2	1	4	0	3
ENSG00000230737	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230741	3	0	0	1	0	3	1	0	0	0	1	0	2	0
ENSG00000230746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230747	16	1	3	1	1	3	4	4	1	2	1	0	2	1
ENSG00000230748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230749	3	1	0	0	0	1	4	0	0	0	0	0	1	0
ENSG00000230750	2	9	1	0	1	1	0	0	3	0	5	0	0	0
ENSG00000230751	2	1	0	0	0	2	0	1	1	0	0	1	2	1
ENSG00000230753	5	1	7	18	2	2	3	4	1	13	0	2	0	1
ENSG00000230755	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230756	0	1	1	0	0	1	2	2	0	1	1	1	0	1
ENSG00000230757	0	0	0	0	0	0	0	0	0	0	1	0	4	1
ENSG00000230758	3	8	1	0	0	0	0	1	0	2	0	0	0	1
ENSG00000230759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230768	0	0	0	19	0	0	1	0	1	0	1	0	0	0
ENSG00000230769	1	0	3	0	0	2	1	2	1	1	0	0	0	1
ENSG00000230772	8	2	20	2	6	4	6	5	2	5	2	5	2	3
ENSG00000230773	4	0	0	2	0	0	1	2	0	0	0	0	0	0
ENSG00000230777	10	14	7	17	7	8	7	5	5	3	34	2	1	30
ENSG00000230778	1	0	2	0	0	1	1	0	0	1	0	2	3	0
ENSG00000230779	2	35	3	10	13	6	0	0	1	2	10	3	0	29
ENSG00000230781	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000230782	1	1	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230783	6	3	0	6	3	1	1	4	2	2	0	2	1	3
ENSG00000230785	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230787	3	9	1	0	0	2	1	0	0	0	1	0	0	3
ENSG00000230788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230789	3	0	1	0	0	2	0	0	0	0	0	1	0	0
ENSG00000230790	2	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000230793	6	15	14	12	6	5	3	4	2	4	3	2	1	4
ENSG00000230794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230795	271	85	73	211	38	238	240	175	86	54	87	8	0	30
ENSG00000230796	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230797	47	32	56	79	27	23	32	17	11	30	31	17	1	10
ENSG00000230798	1	4	17	0	0	9	0	18	1	1	2	0	5	0
ENSG00000230799	8	4	5	3	0	2	7	3	1	9	0	0	9	0
ENSG00000230801	1	2	0	0	0	0	0	1	0	3	0	0	0	0
ENSG00000230803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230804	2	0	0	0	1	1	0	1	0	0	0	0	1	0
ENSG00000230805	1	0	0	0	0	0	2	0	0	0	0	0	3	0
ENSG00000230806	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ENSG00000230807	4	9	2	3	7	1	0	0	0	3	3	0	0	9
ENSG00000230809	3	0	0	1	1	0	0	0	0	0	0	0	0	1
ENSG00000230813	0	0	0	1	0	0	0	0	0	0	0	3	0	0
ENSG00000230814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230815	0	0	2	0	1	0	0	1	0	0	0	0	3	0
ENSG00000230817	6	0	3	0	0	2	0	0	0	0	0	0	0	0
ENSG00000230818	1	0	0	0	0	1	0	0	0	0	1	1	0	0
ENSG00000230819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230820	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000230821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230823	3	0	0	0	1	0	1	0	0	0	1	0	0	3
ENSG00000230825	75	1	11	8	0	2	18	1	2	15	0	1	1	3
ENSG00000230826	1	0	6	0	1	0	0	1	2	0	0	2	0	0
ENSG00000230828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230829	3	13	2	3	4	0	3	0	0	2	3	4	0	7
ENSG00000230830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230831	1	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000230832	2	4	0	2	0	0	4	0	1	1	0	4	0	1
ENSG00000230833	4	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000230834	6	1	0	0	23	2	0	0	1	20	0	2	0	0
ENSG00000230835	1	0	0	0	0	0	0	3	0	0	0	1	0	0
ENSG00000230836	49	0	2	2	1	6	29	6	0	2	1	0	0	6
ENSG00000230837	3	10	2	1	11	0	6	0	4	2	7	1	0	16
ENSG00000230838	54	13	4	8	2	5	217	1	0	3	0	5	5	6
ENSG00000230840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230841	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000230843	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230844	279	51	410	315	120	68	86	254	59	123	132	123	0	150
ENSG00000230845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230847	13	0	0	9	3	5	7	10	0	4	0	0	0	0
ENSG00000230848	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000230849	11	2	8	25	3	17	13	20	1	14	3	0	0	7
ENSG00000230851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230852	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000230853	1	0	0	1	1	0	0	0	0	0	1	0	1	0
ENSG00000230854	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230860	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000230863	2	3	7	0	0	0	0	0	0	2	2	1	1	1
ENSG00000230864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230865	0	3	3	3	0	3	0	1	2	2	0	0	0	0
ENSG00000230866	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230867	0	2	0	0	0	0	0	0	0	0	0	1	0	0
