TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000224837	9	4	5	4	3	3	3	3	3	1	3	6
ENSG00000224839	4	2	2	2	3	5	7	5	4	10	3	4
ENSG00000224842	12	23	5	12	1	2	1	22	39	18	0	1
ENSG00000224843	40	14	44	31	56	29	20	47	18	43	10	16
ENSG00000224844	0	0	3	2	2	1	1	3	0	1	0	1
ENSG00000224846	0	0	1	0	0	9	1	6	0	1	1	2
ENSG00000224848	2	6	0	14	13	97	13	80	130	20	51	2
ENSG00000224851	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224852	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224853	2	0	10	0	0	0	2	1	0	11	1	8
ENSG00000224854	1	0	1	6	0	0	8	9	2	11	3	0
ENSG00000224855	1	0	4	1	1	0	0	3	0	4	0	0
ENSG00000224856	0	0	1	0	2	2	2	4	0	1	2	1
ENSG00000224857	0	0	5	0	0	0	4	0	0	1	5	1
ENSG00000224858	6	7	7	10	20	16	26	10	25	5	15	6
ENSG00000224860	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000224861	62	33	91	5	67	52	82	37	59	117	57	56
ENSG00000224863	7	0	0	1	0	0	1	0	0	2	1	0
ENSG00000224864	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224865	0	0	0	0	0	0	0	0	0	0	16	2
ENSG00000224866	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224869	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224870	2243	725	2425	302	1032	1435	1039	1069	697	1509	1337	1009
ENSG00000224873	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224875	1	3	4	1	0	6	91	1	3	18	13	1
ENSG00000224876	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224877	1900	761	1891	1027	627	1190	870	1691	1426	1844	1148	1041
ENSG00000224879	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224880	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224881	1	0	1	0	0	3	3	3	0	0	0	0
ENSG00000224883	0	3	1	0	1	0	0	7	2	1	1	0
ENSG00000224884	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224885	6	2	5	0	10	3	0	8	3	2	2	2
ENSG00000224886	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224887	135	1	17	122	51	59	6	58	9	68	16	214
ENSG00000224888	36	41	41	12	26	13	28	17	19	56	50	36
ENSG00000224891	3	0	0	4	2	0	0	1	0	0	1	5
ENSG00000224892	6	4	38	16	12	7	60	29	7	35	30	5
ENSG00000224893	0	0	0	0	0	0	0	0	0	0	0	13
ENSG00000224895	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000224896	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224897	30	6	61	1	6	3	15	66	5	30	69	1
ENSG00000224899	0	0	0	0	0	0	0	20	0	0	0	0
ENSG00000224901	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224902	0	0	0	0	0	37	0	0	0	0	0	0
ENSG00000224903	11	0	7	11	0	10	16	7	1	9	0	6
ENSG00000224904	0	2	2	0	2	0	0	0	0	9	0	1
ENSG00000224905	15	2	12	4	20	34	36	16	1	13	186	7
ENSG00000224906	2	0	2	0	0	1	2	1	1	4	2	1
ENSG00000224907	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224908	3	3	1	4	4	3	6	2	3	7	5	2
ENSG00000224910	0	0	0	0	0	0	0	1	1	1	0	0
ENSG00000224914	99	143	108	13	103	50	54	106	74	108	136	42
ENSG00000224916	1	1	4	6	14	9	15	386	2	655	11	126
ENSG00000224917	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224918	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000224919	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224920	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000224922	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224924	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224927	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224928	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000224931	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224932	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000224933	4	0	4	3	3	1	0	6	0	7	1	2
ENSG00000224934	32	39	91	63	25	50	83	49	16	131	52	9
ENSG00000224935	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224936	22	2	41	1	3	4	5	2	0	12	0	17
ENSG00000224939	7	0	9	3	3	2	2	3	0	2	4	2
ENSG00000224940	41	11	55	36	411	306	215	10	1488	147	368	721
ENSG00000224942	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224943	1	0	4	0	0	0	0	1	0	0	0	0
ENSG00000224944	2	0	1	0	0	0	0	0	0	0	0	0
ENSG00000224945	2	0	78	41	3	1	28	4	0	69	235	5
ENSG00000224946	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000224947	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224948	0	0	1	0	1	1	0	0	0	1	0	1
ENSG00000224949	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000224950	665	3	114	86	48	29	153	82	7	158	52	270
ENSG00000224953	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224955	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224957	1	0	0	4	0	11	2	13	0	12	3	0
ENSG00000224958	0	0	0	5	8	0	3	0	1	2	11	0
ENSG00000224960	4	0	0	0	0	0	0	1	0	0	0	63
ENSG00000224961	29	14	4	0	3	1	4	3	5	1	2	1
ENSG00000224962	0	0	1	0	0	0	0	0	1	0	0	0
ENSG00000224963	20	0	0	6	8	73	1	5	29	5	31	1
ENSG00000224964	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224965	5	8	1	4	7	6	21	3	16	6	5	15
ENSG00000224966	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224967	1	0	1	0	0	0	0	1	0	1	0	0
ENSG00000224968	0	0	0	0	0	0	3	0	0	0	1	1
ENSG00000224969	1	11	4	3	1	10	0	1	0	5	14	7
ENSG00000224970	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224971	4	3	1	0	3	1	0	0	0	1	3	0
ENSG00000224972	0	0	1	0	0	1	1	0	0	0	0	0
ENSG00000224973	0	0	2	0	0	1	4	2	1	1	1	0
ENSG00000224975	62	24	113	25	17	35	60	47	35	48	123	15
ENSG00000224976	4	3	2	0	4	4	6	5	2	13	6	0
ENSG00000224977	3	4	2	3	1	2	4	1	0	3	5	7
ENSG00000224978	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224980	0	0	1	1	0	0	0	0	0	0	1	0
ENSG00000224981	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000224982	15	7	321	25	6	2	29	23	13	69	125	51
ENSG00000224984	0	0	24	0	5	0	1	3	0	0	0	4
ENSG00000224985	4	0	0	0	1	1	0	0	0	0	2	0
ENSG00000224986	6	0	16	1	1	2	0	7	2	0	10	1
ENSG00000224987	0	0	1	0	1	0	0	1	0	0	1	0
ENSG00000224988	6	0	7	0	2	9	3	3	2	5	1	4
ENSG00000224989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224992	10	0	9	0	2	3	14	7	0	20	3	19
ENSG00000224993	4	0	6	8	13	7	11	9	12	1	9	5
ENSG00000224995	8	0	3	6	1	2	5	6	2	0	0	1
ENSG00000224999	2	0	0	0	0	0	0	4	0	1	0	0
ENSG00000225000	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225002	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225003	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225005	0	0	0	0	1	0	3	0	3	0	0	0
ENSG00000225006	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225007	0	0	1	6	2	0	1	7	2	1	2	0
ENSG00000225008	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	1	0	0	1	1	0	0
ENSG00000225012	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225014	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000225016	1	0	1	0	0	1	0	0	0	1	0	0
ENSG00000225017	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000225018	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000225022	8	0	11	2	5	6	4	4	6	3	5	3
ENSG00000225024	0	0	0	0	0	1	2	0	0	0	0	0
ENSG00000225025	0	0	0	0	0	4	3	0	0	0	0	0
ENSG00000225026	7	1	6	0	8	7	10	14	9	6	3	3
ENSG00000225027	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225028	0	0	3	0	1	1	1	0	0	0	1	1
ENSG00000225031	167	163	181	82	227	159	79	81	110	121	279	117
ENSG00000225032	65	21	37	48	41	42	267	133	19	140	96	14
ENSG00000225036	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225037	1	0	0	0	0	0	0	1	0	2	1	1
ENSG00000225039	1	16	8	0	8	16	32	4	0	16	0	6
ENSG00000225043	0	0	2	0	0	0	2	2	0	0	3	0
ENSG00000225044	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225045	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225046	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225050	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225051	22	16	11	35	13	17	9	19	8	18	7	6
ENSG00000225053	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225055	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225056	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000225057	3	1	2	1	1	2	4	2	1	6	0	0
ENSG00000225058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225062	13	0	25	6	6	5	17	22	3	20	5	2
ENSG00000225063	1	0	1	1	0	0	0	0	0	3	0	0
ENSG00000225064	0	0	3	0	0	0	0	0	0	8	0	0
ENSG00000225066	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225067	28	40	18	25	33	25	73	18	38	24	27	12
ENSG00000225069	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225071	5	1	8	9	7	13	27	5	3	9	8	0
ENSG00000225072	0	0	2	0	0	0	0	0	0	0	0	1
ENSG00000225075	6	1	10	5	0	2	5	6	0	20	8	1
ENSG00000225076	0	0	1	0	0	0	3	0	0	0	0	0
ENSG00000225077	35	52	140	35	47	45	19	7	35	49	48	67
ENSG00000225078	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000225079	0	1	5	5	9	41	45	10	8	33	51	5
ENSG00000225080	3	0	2	0	0	2	3	5	0	1	3	0
ENSG00000225082	1	0	4	0	0	1	1	3	0	2	0	0
ENSG00000225083	1	0	3	0	20	2	17	2	3	1	0	5
ENSG00000225084	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225085	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225087	0	0	0	3	0	0	1	13	0	0	0	0
ENSG00000225091	3	3	26	11	2	0	7	5	2	41	35	9
ENSG00000225092	0	0	4	4	0	1	0	0	3	2	1	0
ENSG00000225093	48	25	21	13	40	30	60	15	17	23	18	10
ENSG00000225094	3	0	7	0	0	1	4	2	0	5	0	1
ENSG00000225096	52	94	75	3	64	59	3	44	136	9	16	9
ENSG00000225098	0	1	0	0	1	0	3	0	2	0	4	0
ENSG00000225099	2	1	6	0	3	1	1	1	1	2	1	1
ENSG00000225100	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225101	0	0	0	1	5	4	8	3	0	4	5	2
ENSG00000225102	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225105	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225106	110	21	5294	9564	691	903	361	512	426	2182	0	1675
ENSG00000225107	1	0	0	0	0	1	1	0	1	2	2	2
ENSG00000225108	0	4	0	0	3	0	0	1	0	0	0	0
ENSG00000225110	0	0	0	0	1	0	0	0	10	0	0	0
ENSG00000225111	2	2	6	0	0	2	0	0	1	3	4	0
ENSG00000225112	3	0	0	0	0	0	0	2	0	1	0	0
ENSG00000225113	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225116	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000225117	0	0	2	0	0	1	0	0	0	26	0	0
ENSG00000225118	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225121	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225122	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225123	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225124	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225125	4	3	2	2	7	4	19	6	9	9	18	0
ENSG00000225126	0	0	8	0	0	1	2	2	1	0	2	2
ENSG00000225127	21	13	0	1	12	4	6	11	0	29	33	1
ENSG00000225128	7	0	0	0	0	0	0	4	0	0	62	0
ENSG00000225129	0	1	0	0	0	0	1	1	0	0	3	1
ENSG00000225131	40	20	30	73	54	72	96	63	28	44	38	76
ENSG00000225133	1	0	0	0	0	0	3	0	0	0	0	0
ENSG00000225136	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225137	18	15	16	1	19	17	13	36	19	19	29	22
ENSG00000225138	615	501	424	71	1475	81	966	1937	854	41	535	160
ENSG00000225140	48	79	38	42	35	263	252	402	4	86	12	123
ENSG00000225142	0	2	3	0	0	0	1	0	0	2	1	0
ENSG00000225144	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225146	2	6	1	0	2	0	0	0	1	1	0	0
ENSG00000225147	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000225148	0	0	3	0	3	0	0	0	0	0	0	0
ENSG00000225151	28	6	16	2	13	17	6	16	8	36	184	9
ENSG00000225152	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225154	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000225155	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000225156	6	0	2	1	0	0	0	0	1	2	5	0
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225159	8	10	14	7	9	10	39	12	2	16	29	18
ENSG00000225163	15	0	1	4	1	12	14	4	4	15	16	4
ENSG00000225165	0	1	2	0	0	0	0	0	0	0	0	0
ENSG00000225166	1	2	0	0	1	0	1	3	0	2	2	0
ENSG00000225167	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225169	10	5	15	5	36	11	5	6	3	14	5	6
ENSG00000225170	1	0	1	3	2	1	3	7	2	2	0	1
ENSG00000225171	14	8	9	3	9	99	31	14	4	7	29	5
ENSG00000225172	0	0	0	0	0	0	0	1	3	0	0	0
ENSG00000225173	2	1	7	37	1	12	1	2	6	1	1	3
ENSG00000225174	0	1	0	0	0	0	1	0	0	0	1	0
ENSG00000225175	0	1	1	0	0	0	3	0	0	0	0	0
ENSG00000225176	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225177	108	686	441	664	100	347	224	326	46	327	103	230
ENSG00000225178	2	0	0	2	2	1	5	2	5	1	5	4
ENSG00000225179	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225180	0	0	0	0	0	0	0	0	0	1	2	1
ENSG00000225181	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225182	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225183	1	0	0	2	2	0	1	2	0	3	5	1
ENSG00000225185	0	0	3	0	0	0	2	0	0	1	2	0
ENSG00000225187	26	1	6	0	0	0	5	1	0	7	2	2
ENSG00000225189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225190	1821	1506	2677	657	2543	1860	1186	2494	1891	1817	1397	1127
ENSG00000225191	0	0	1	0	0	0	0	1	0	0	0	0
ENSG00000225192	0	1	1	0	0	0	4	1	0	1	1	0
ENSG00000225193	0	5	4	0	1	10	4	4	12	4	9	0
ENSG00000225194	69	148	1	4	116	29	130	16	14	150	13	12
ENSG00000225195	0	0	1	48	4	4	6	1	0	0	1	1
ENSG00000225196	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225198	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225200	106	73	59	161	115	220	252	74	120	111	176	123
ENSG00000225203	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225205	19	5	52	26	15	31	93	31	8	100	143	9
ENSG00000225206	0	0	1	0	0	0	0	0	0	0	30	1
ENSG00000225208	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225209	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225210	105	1	83	22	5	122	29	60	0	73	53	43
ENSG00000225212	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000225213	3	2	7	2	2	10	4	15	3	24	1	3
ENSG00000225214	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225215	0	0	1	0	1	1	0	0	0	1	2	0
ENSG00000225216	11	4	9	4	1	5	0	4	5	22	2	0
ENSG00000225217	1320	38	748	405	138	417	771	393	5	958	1194	560
ENSG00000225218	5	0	7	6	0	11	24	2	0	8	10	0
ENSG00000225221	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225222	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225224	1	1	16	2	3	2	11	5	2	2	3	11
ENSG00000225225	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225226	2	0	0	0	0	0	0	0	0	9	0	0
ENSG00000225230	1	1	4	0	1	0	1	10	0	9	4	0
ENSG00000225231	1	0	1	0	4	0	2	0	0	2	1	1
ENSG00000225233	1	0	0	0	0	2	0	0	0	0	0	0
ENSG00000225234	11	28	12	3	13	15	24	45	48	24	64	22
ENSG00000225235	9	4	5	0	1	1	2	3	0	3	6	2
ENSG00000225236	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000225238	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225239	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225240	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225242	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225243	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225244	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225246	0	1	1	1	3	3	2	0	0	1	0	0
ENSG00000225249	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225251	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000225253	0	0	6	0	0	0	0	0	0	0	0	1
ENSG00000225254	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000225255	0	2	3	3	0	63	1	4	0	0	1	13
ENSG00000225256	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225258	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000225259	25	28	20	1	9	13	12	52	11	8	15	6
ENSG00000225263	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225264	29	86	36	3	73	18	2	27	51	44	26	16
ENSG00000225265	156	22	138	14	33	39	51	105	39	176	153	44
ENSG00000225267	3	3	0	2	4	3	2	0	2	1	3	1
ENSG00000225269	0	0	4	2	0	0	0	0	0	0	0	1
ENSG00000225270	0	0	1	0	0	3	0	5	0	1	1	0
ENSG00000225271	0	0	0	0	0	0	2	0	0	0	1	0
ENSG00000225272	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225275	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225276	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225279	17	1	5	0	0	1	0	5	0	7	2	7
ENSG00000225280	71	7	9	0	0	21	0	0	7	0	1	0
ENSG00000225282	0	2	0	7	2	3	1	3	0	3	1	0
ENSG00000225284	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225285	39	14	12	9	30	64	36	10	9	11	112	10
ENSG00000225286	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225287	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225289	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225292	1	0	1	0	2	0	5	0	1	1	0	1
ENSG00000225293	0	0	2	0	0	0	0	0	1	0	0	0
ENSG00000225294	0	1	1	0	0	0	0	0	0	1	0	2
ENSG00000225295	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225297	0	2	1	0	0	0	1	1	0	2	1	0
ENSG00000225298	3	0	0	0	0	0	0	2	0	0	11	0
ENSG00000225299	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225300	2	0	0	10	0	0	0	0	0	0	1	0
ENSG00000225303	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225304	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225308	0	0	0	0	1	1	0	0	1	0	0	0
ENSG00000225310	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225311	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000225313	137	25	202	28	19	137	93	201	19	213	290	30
ENSG00000225314	0	1	0	0	0	0	2	0	1	0	1	0
ENSG00000225315	0	0	0	0	0	0	1	0	0	0	2	0
ENSG00000225316	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225321	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225323	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225325	0	0	0	1	0	0	1	0	1	0	0	0
ENSG00000225326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225327	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225328	0	1	24	0	0	4	2	1	7	0	2	0
ENSG00000225329	43	3	15	2	8	4	7	13	0	4	3	1
ENSG00000225330	0	0	5	0	0	0	0	0	0	4	0	2
ENSG00000225331	0	1	1	4	3	7	26	3	0	1	4	1
ENSG00000225333	1	0	3	0	0	1	0	2	1	0	5	0
ENSG00000225334	23	0	4	3	0	5	4	0	0	7	8	1
ENSG00000225335	23	5	95	11	16	16	60	82	3	93	8	40
ENSG00000225336	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225337	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225338	9	10	6	2	8	6	18	5	7	4	10	3
ENSG00000225339	49	16	32	18	53	28	15	67	12	63	7	18
ENSG00000225341	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225342	11	7	6	11	7	7	92	21	2	17	10	3
ENSG00000225343	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225344	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225345	1	0	3	6	0	3	8	0	1	1	7	2
ENSG00000225347	0	0	1	0	1	2	0	1	0	1	0	3
ENSG00000225349	0	0	1	1	0	0	1	0	0	0	1	0
ENSG00000225350	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225352	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000225354	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225355	1	1	3	0	1	0	0	0	0	0	2	0
ENSG00000225356	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225357	4	1	4	7	1	3	2	4	0	7	2	1
ENSG00000225358	0	0	1	0	0	0	1	3	0	0	1	0
ENSG00000225359	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225360	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225361	67	80	136	51	35	74	63	92	65	157	57	73
ENSG00000225362	0	0	9	0	0	0	0	0	0	0	3	3
ENSG00000225364	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225365	1	0	0	1	11	1	0	3	0	0	1	3
ENSG00000225366	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225369	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225370	0	0	0	3	2	18	17	1	0	1	2	2
ENSG00000225371	0	0	0	0	3	2	0	0	0	3	0	0
ENSG00000225376	79	0	2	0	0	3	0	14	2	5	2	1
ENSG00000225377	153	68	71	45	129	94	59	133	74	210	60	129
ENSG00000225378	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225380	0	1	0	0	6	0	1	0	0	2	1	0
ENSG00000225381	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000225383	0	1	3	10	6	2	0	18	6	5	79	1
ENSG00000225384	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225385	0	0	0	0	0	0	3	1	0	0	1	0
ENSG00000225386	0	0	0	0	0	0	1	0	4	0	0	0
ENSG00000225387	0	0	0	0	0	1	0	0	0	0	5	0
ENSG00000225391	2	0	1	0	0	0	1	0	0	0	0	0
ENSG00000225392	0	2	1	1	1	0	0	1	0	1	0	2
ENSG00000225393	1	0	0	0	0	0	0	0	1	0	0	1
ENSG00000225394	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225396	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225397	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225398	0	0	1	0	1	0	5	0	2	0	3	0
ENSG00000225399	83	0	3	92	26	65	6	64	23	2	1	78
ENSG00000225400	10	2	5	0	1	5	3	2	2	8	35	1
ENSG00000225401	0	0	1	0	0	2	0	1	0	2	0	0
ENSG00000225402	2	0	3	0	3	0	1	0	1	1	1	0
ENSG00000225404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225405	4	3	1	6	0	1	19	6	6	4	2	4
ENSG00000225406	1	0	1	0	0	0	1	2	0	0	2	1
ENSG00000225407	0	0	0	0	2	5	3	2	1	0	4	4
ENSG00000225408	2	1	0	1	0	2	7	0	0	1	1	0
ENSG00000225411	15	0	45	0	3	4	7	14	3	8	2	5
ENSG00000225413	31	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225415	0	0	1	2	0	0	0	1	0	0	0	1
ENSG00000225416	1	1	0	7	0	2	1	1	1	2	7	1
ENSG00000225417	0	0	11	0	1	0	3	38	0	11	1	0
ENSG00000225418	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225419	3	0	3	0	4	2	6	2	1	2	4	1
ENSG00000225420	2	0	8	3	0	3	1	0	0	1	8	3
ENSG00000225421	2	0	1	0	0	0	0	0	1	0	0	0
ENSG00000225422	9	10	26	3	9	11	6	11	25	23	22	36
ENSG00000225423	0	0	1	0	0	1	1	0	0	2	0	1
ENSG00000225424	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225427	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225428	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225431	0	0	21	0	4	0	4	0	2	0	6	13
ENSG00000225433	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225434	2	1	4	10	104	11	24	83	67	30	19	9
ENSG00000225437	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225438	0	1	2	0	0	0	0	0	0	0	0	3
ENSG00000225439	268	152	387	69	354	207	158	342	288	411	393	304
ENSG00000225442	1	0	4	0	0	1	3	0	0	0	3	0
ENSG00000225443	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000225444	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000225446	0	0	5	2	0	1	2	1	1	1	0	1
ENSG00000225447	1	0	4	0	2	1	1	1	1	6	7	3
ENSG00000225448	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225449	0	0	0	3	0	0	8	0	0	0	97	1
ENSG00000225450	7	0	1	7	1	1	12	5	2	13	7	1
ENSG00000225451	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225455	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225457	0	0	2	0	0	0	0	0	0	1	1	0
