TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000182264	5	11	7	2	6	3	9	9	0	4	0	4	0	1	5
ENSG00000182271	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000182272	457	18	50	11	19	30	5	213	3	0	0	1392	4688	3	10
ENSG00000182287	1413	7192	1502	1216	5028	1462	2399	2240	3656	1604	1750	1504	5764	1166	2173
ENSG00000182307	2973	1889	2381	1288	3905	2450	1453	2235	967	6437	1373	3102	1968	957	2546
ENSG00000182308	44	63	28	24	20	57	13	8	12	12	0	4	1	28	11
ENSG00000182310	457	343	480	192	229	636	196	157	321	100	180	318	480	214	455
ENSG00000182315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182318	199	633	216	285	311	529	448	378	481	487	248	251	204	158	429
ENSG00000182324	76	185	110	66	20	225	118	154	163	109	42	33	91	83	155
ENSG00000182325	1220	662	892	471	1142	352	464	389	253	1579	897	627	1506	591	506
ENSG00000182326	33323	2602	36656	4299	12761	6875	70575	18570	6359	30303	106724	7874	16244	5652	5334
ENSG00000182327	18	93	38	71	56	31	10	24	15	10	17	29	46	58	11
ENSG00000182329	3	20	1	185	165	1	11	22	10	5	76	143	4	40	7
ENSG00000182330	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000182333	0	5	1	2	0	1	0	5	1	1	0	92	0	0	3
ENSG00000182334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000182346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182347	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0
ENSG00000182348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182351	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182352	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000182359	276	117	250	196	228	255	138	57	74	249	171	122	280	131	216
ENSG00000182362	433	204	890	558	695	680	460	363	1026	353	1002	426	1903	254	215
ENSG00000182365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182366	18	2	2	4	6	0	22	2	5	1	83	2	0	0	12
ENSG00000182372	754	1232	420	742	524	587	562	752	859	498	1025	227	722	228	1492
ENSG00000182376	8	5	11	9	5	3	4	1	4	0	1	1	1	0	2
ENSG00000182378	1308	3430	1827	1009	872	2218	1158	1436	2387	1216	620	3683	1070	1329	1404
ENSG00000182379	115	2647	407	811	31	554	445	187	76	21	14	1905	744	95	103
ENSG00000182383	1	3	0	2	1	0	1	0	3	0	8	2	7	0	0
ENSG00000182389	87	54	9	106	91	1971	237	94	2	40	149	9	46	64	122
ENSG00000182393	0	0	0	0	1	0	0	0	2	1	5	0	0	0	0
ENSG00000182397	10	31	68	85	26	58	44	630	17	119	32	3	15	71	32
ENSG00000182400	1184	4284	2015	1427	3173	2744	1858	1701	1144	1869	1025	2223	1248	697	1238
ENSG00000182405	121	187	93	174	165	324	110	147	210	206	73	222	132	118	83
ENSG00000182415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182446	5637	7634	6374	8036	3330	5740	5265	6859	2687	11102	3526	8024	7158	4196	4968
ENSG00000182447	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
ENSG00000182450	1	3	1	0	0	4	0	0	0	0	0	0	0	1	0
ENSG00000182459	3	0	1	2	0	0	0	0	2	5	0	0	1	0	0
ENSG00000182463	41	97	82	83	290	70	1392	901	2101	2063	1055	28	358	5	285
ENSG00000182472	10	90	58	2	6	7	11	6	1	5	20	9	13	6	86
ENSG00000182473	3637	3116	4222	3606	2724	3615	3421	3521	4371	7268	1990	4067	3005	1602	2435
ENSG00000182477	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0
ENSG00000182481	1864	13665	2251	8237	2683	3842	6052	6102	7244	13655	3406	9955	4088	2286	8613
ENSG00000182484	676	171	327	332	332	321	257	725	362	115	297	491	840	305	250
ENSG00000182487	65	5	82	28	49	4	51	96	40	25	581	4	42	35	10
ENSG00000182489	16	24	17	15	3	24	15	0	2	4	2	11	9	9	3
ENSG00000182492	35218	77821	99228	93456	30067	85924	61920	8655	1671	16837	4302	28463	24245	21964	71040
ENSG00000182504	484	2133	833	1211	1542	2854	917	926	537	1427	246	1577	274	1140	1903
ENSG00000182508	33	70	62	162	19	54	0	0	0	0	6	13	32	34	4
ENSG00000182511	2558	2074	3581	2737	2475	1809	2766	3408	472	2420	4765	2717	2840	1788	1352
ENSG00000182512	1245	4516	1881	2869	1662	2717	2202	2646	2601	2843	1756	1594	1974	1135	1350
ENSG00000182518	405	488	598	742	1574	1128	481	683	1252	532	922	1075	860	1047	831
ENSG00000182521	0	4	0	1	1	2	0	3	0	3	0	0	0	0	0
ENSG00000182531	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
ENSG00000182533	0	3	1	0	0	5	7	4	0	0	3	1	0	0	188
ENSG00000182534	9005	21173	23458	23972	11113	6119	9145	6012	14348	10947	2660	8808	20948	8598	8174
ENSG00000182541	2152	7626	3350	3278	2256	2717	2758	2576	787	1475	951	2380	1247	1887	1633
ENSG00000182544	1577	1347	838	1166	1572	829	1325	1728	1771	1447	3022	891	4301	242	1014
ENSG00000182545	5	3	5	1	2	1	15	12	0	1	2	3	2	0	6
ENSG00000182551	3333	4068	7560	5267	5011	5353	3296	3253	3396	950	6989	2270	3238	451	2684
ENSG00000182552	533	721	465	389	689	390	420	344	653	536	377	679	372	292	342
ENSG00000182557	64	13	131	14	22	0	14	7	3	1	85	2	25	27	1
ENSG00000182565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182566	28	4	81	30	7	5	401	1240	81	2453	483	7	23	17	1
ENSG00000182568	600	173	223	189	301	5390	723	1150	2695	1792	342	5125	121	238	1789
ENSG00000182574	0	2	4	9	0	7	2	0	0	3	0	0	0	0	0
ENSG00000182575	2576	2948	441	536	313	7097	695	95	3	84	125	2088	2149	1109	384
ENSG00000182578	5457	1005	9109	2004	10142	905	7767	12755	5370	7567	31590	514	2818	2145	3116
ENSG00000182580	371	1152	244	495	162	215	1051	889	279	1559	848	833	4645	99	1888
ENSG00000182583	0	7	0	0	0	0	0	0	1	0	0	1	0	0	2
ENSG00000182584	83	58	44	140	131	12	56	45	80	87	144	42	542	21	26
ENSG00000182585	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000182586	18	0	3	4	9	17	2	7	8	2	3	3	3	10	2
ENSG00000182591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182600	95	55	67	31	8	122	45	46	178	36	42	47	38	40	9
ENSG00000182601	0	0	0	0	0	0	0	29	0	0	0	0	0	0	2
ENSG00000182606	2418	4759	3538	3356	3441	6840	3731	8355	2815	4304	1585	5021	1620	2153	3783
ENSG00000182612	82	45	102	45	42	79	80	77	202	45	93	129	172	47	4
ENSG00000182613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182621	713	1571	270	286	1041	1501	909	3637	76	782	882	1722	499	458	725
ENSG00000182625	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000182628	1908	7511	3574	5645	1569	3157	2939	2285	2507	3155	2165	5409	2097	2032	1298
ENSG00000182631	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000182632	2	1	0	2	0	0	0	30	342	1	1	2	17	7	7
ENSG00000182634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182636	2178	151	46	120	128	37	3562	5622	29	66	4601	4751	1344	187	1354
ENSG00000182645	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
ENSG00000182648	115	21	509	400	328	13	123	92	25	7	97	489	44	193	609
ENSG00000182652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182667	402	1662	1889	1517	242	1435	1377	492	2260	1292	857	2	63	352	1012
ENSG00000182670	8075	10741	5080	3432	10235	7195	12391	11624	16772	9464	6822	14827	11174	3303	12125
ENSG00000182674	13	669	2	203	473	580	51	1524	1	0	566	48	27	72	402
ENSG00000182676	2	2	6	3	1	0	17	1	2	0	2	0	1	1	155
ENSG00000182685	121	564	574	398	108	359	130	210	143	103	215	624	542	961	223
ENSG00000182687	1	1	4	3	1	4	13	26	2	13	9	27	12	1	5
ENSG00000182698	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182700	734	472	703	676	1175	1654	896	1134	1929	956	764	442	298	306	755
ENSG00000182704	2581	505	177	725	348	170	5257	21137	7530	2954	7083	207	2537	44	625
ENSG00000182707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182712	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182718	25954	12894	16856	15349	14662	19143	39771	25448	172633	168392	34250	12095	14752	4720	42114
ENSG00000182722	1	3	3	0	1	10	3	0	1	2	0	1	0	2	4
ENSG00000182732	2	1	4	1	27	8	16	7	4	4	9	717	1	1	32
ENSG00000182742	426	240	1216	780	115	12	313	296	39	799	279	19	64	437	948
ENSG00000182747	0	5	0	0	1	2	1	1	0	0	0	1	0	0	2
ENSG00000182749	1056	690	613	370	396	688	985	758	2161	1364	901	779	1079	449	880
ENSG00000182752	167	77	92	367	171	1304	174	5614	483	852	532	3	466	18	12
ENSG00000182759	2	8	2	9	4	2	6	0	0	0	4	0	1	1	42
ENSG00000182768	2301	5140	2418	3282	2664	4603	1631	1809	1835	3135	994	2362	639	1461	2467
ENSG00000182771	203	723	6	276	41	32	1152	1182	17	11	189	451	43	10	40
ENSG00000182774	39449	58272	34220	24730	21414	45558	28548	36996	116314	47922	50606	40746	62710	9138	34896
ENSG00000182776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182782	8	23	6	77	47	1	8	31	14	7	12	4	4	23	1
ENSG00000182783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182791	8	9	19	34	19	13	8	7	18	19	8	10	9	16	15
ENSG00000182793	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000182795	14	8	1	3	2	6	3	11	3	6	0	10	7	3	37
ENSG00000182796	540	405	466	449	846	656	771	1459	899	448	592	669	276	318	992
ENSG00000182798	0	2	3	0	5	6	3	2	26	783	0	1	11	0	19
ENSG00000182809	9311	6816	12060	25168	12986	8254	13066	5227	758	1558	1697	2512	14830	2530	7267
ENSG00000182810	685	556	515	455	942	335	344	651	593	560	506	718	708	157	362
ENSG00000182814	0	2	0	0	1	0	0	0	1	0	0	1	2	0	2
ENSG00000182816	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182824	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0
ENSG00000182827	2851	4202	1712	1524	4949	3935	2506	3206	7497	3050	1792	1618	596	477	3505
ENSG00000182831	2050	2929	1810	2964	5598	2467	2272	3400	2724	4072	1649	2026	2445	720	3212
ENSG00000182836	37	5	89	87	283	49	7	90	5	260	1	0	0	33	1
ENSG00000182841	343	566	774	105	273	470	230	226	364	202	244	290	167	273	212
ENSG00000182853	242	68	278	151	135	42	315	403	145	140	786	92	272	71	329
ENSG00000182854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182858	654	1010	830	396	1057	660	449	687	1801	1149	238	853	121	458	691
ENSG00000182866	309	42	757	71	751	14	178	138	74	112	1348	17	195	101	114
ENSG00000182870	27	39	31	12	0	2	0	2	1	1	1	1	38	1	6
ENSG00000182871	29432	8757	3181	20270	17500	6428	51165	19677	11604	3662	10204	4641	11784	13010	8056
ENSG00000182872	5126	5361	5247	4776	4367	5891	4816	3927	6934	6130	5576	7005	9751	4183	3683
ENSG00000182873	85	118	259	344	103	145	51	65	180	39	33	51	232	111	65
ENSG00000182885	5	2	8	5	6	0	17	64	7	3	27	56	13	4	4
ENSG00000182888	2	1	1	1	1	0	0	0	6	0	2	0	2	0	0
ENSG00000182890	48	31	9	164	37	82	57	114	79	54	8	20	14	73	304
ENSG00000182896	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1
ENSG00000182898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182899	31357	14687	31967	13778	27109	25574	17026	19455	60390	26669	33381	34209	97642	5203	12863
ENSG00000182901	7	0	0	171	2	1	2	1	0	1	2	0	0	587	0
ENSG00000182902	40	10	33	37	59	28	38	110	74	28	252	139	42	44	114
ENSG00000182903	681	1088	462	369	834	526	548	964	1145	1013	336	681	229	280	275
ENSG00000182912	18	80	1	0	0	6	2	3	1	0	17	3	3	2	3
ENSG00000182916	489	71	127	1016	881	1260	374	428	7	188	826	976	2351	645	1666
ENSG00000182919	1079	1192	878	752	767	694	690	923	672	1079	582	991	461	310	1316
ENSG00000182921	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000182923	1255	1476	1583	2083	2205	2558	1490	1170	1648	2415	863	1877	955	746	1685
ENSG00000182931	70	25	351	15	31	409	4	1	62	48	1	4	3	13	28
ENSG00000182934	8156	10255	6347	7382	7281	6187	5843	9806	9375	23366	6328	6414	6108	3445	9363
ENSG00000182938	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000182944	11454	12167	12310	10612	8856	10914	10818	12342	19294	16989	10844	13710	9236	5175	10353
ENSG00000182950	15	9	28	65	22	34	5	19	19	6	18	27	15	1	3
ENSG00000182952	2542	4412	3262	1833	6138	5254	2516	2279	2599	3559	710	4221	184	630	2929
ENSG00000182957	535	1823	738	459	1917	133	388	678	674	842	785	172	145	548	725
ENSG00000182963	3164	10988	2950	4784	2578	7302	7730	4015	1150	4618	570	6027	1518	3125	3257
ENSG00000182965	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0
ENSG00000182968	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0
ENSG00000182973	1347	2038	1703	1459	2391	2867	1448	1296	1946	1880	1239	2262	1461	944	1732
ENSG00000182974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182979	2296	4649	3183	2125	1947	4411	3491	3232	6722	7092	1081	4903	1500	2581	2855
ENSG00000182983	754	816	441	193	239	453	545	566	14	457	279	400	369	391	127
ENSG00000182985	517	3654	1820	1517	1066	2131	1867	212	246	60	264	928	413	701	201
ENSG00000182986	1274	1310	542	529	848	1736	1139	886	749	1375	484	1326	382	522	1826
ENSG00000182993	64	43	425	58	145	55	49	25	113	101	29	43	40	37	31
ENSG00000183010	534	1076	83	284	1025	67	2072	4618	1889	3848	3976	952	186	7	2384
ENSG00000183011	1839	1444	1718	2210	1880	1688	2048	2506	2155	1582	4404	2774	11268	1456	1863
ENSG00000183018	758	188	278	222	280	170	600	300	94	112	98	102	593	56	57
ENSG00000183019	7	4	3	0	1	0	4	20	9	36	10	1	4	2	1
ENSG00000183020	5545	3894	3889	3561	6388	5533	6292	6538	4557	9002	8695	6194	4546	2333	5213
ENSG00000183022	1	0	0	1	1	1	3	0	5	2	0	1	0	1	1
ENSG00000183023	3104	3130	3447	4370	1780	6557	992	1780	292	1179	911	1073	860	1599	219
ENSG00000183024	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000183032	12	495	48	20	13	117	3	24	4	10	0	61	13	15	2
ENSG00000183034	1	0	1	0	0	0	0	0	0	0	0	1	7	0	0
ENSG00000183035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183036	2513	15	43	5101	3	4839	2	4	0	0	2	8765	12934	7076	12
ENSG00000183044	300	376	324	105	891	372	241	388	86	130	197	379	592	184	396
ENSG00000183048	107	475	243	564	44	168	190	320	110	547	546	246	375	153	142
ENSG00000183049	545	2204	1154	2644	1811	990	2480	3076	901	235	2928	322	468	796	2612
ENSG00000183054	1	0	0	0	0	0	3	1	3	0	0	0	0	0	2
ENSG00000183055	0	1	2	0	2	0	2	1	3	1	0	2	0	0	2
ENSG00000183060	563	1408	635	387	404	959	598	3017	363	608	494	406	696	769	551
ENSG00000183066	32	4	33	4	15	21	5	30	14	11	25	7	24	34	9
ENSG00000183067	49	51	61	350	0	88	11	32	2	0	31	21	2	22	0
ENSG00000183072	1	1780	2	2037	527	2	68	0	2	0	1	118	4	1100	4
ENSG00000183077	826	762	577	575	370	272	1169	928	838	1643	555	797	1674	250	355
ENSG00000183087	26170	25016	63635	44635	21287	40198	7943	4998	5980	7368	12769	14557	7727	14005	2837
ENSG00000183090	2	0	1	0	5	2	1	2	7	2	0	852	4	0	7
ENSG00000183091	61	62	68	53	63	531	376	98	34	89	74	406	21	95	23850
ENSG00000183092	306	972	12	149	39	543	69	20	7	19	32	99	55	602	21
ENSG00000183098	1999	3581	3159	1537	10201	3071	2386	23367	2385	2851	5481	4551	1498	723	6057
ENSG00000183111	1187	1198	1326	2847	930	1125	862	283	33	192	131	633	104	1944	107
ENSG00000183114	8	38	4	32	76	0	112	2424	3	2	2919	1	333	2	17
ENSG00000183117	21	0	2	709	4	34	32	0	11	0	5	30	1	4	12
ENSG00000183122	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0
ENSG00000183128	2	0	5	1	3	0	12	3	54	4	6	3	5	1	2
ENSG00000183134	299	7	7	4	8	8	19	115	15	4	124	7	19	4	8
ENSG00000183137	375	1183	643	371	510	662	694	2500	602	796	349	825	350	500	1334
ENSG00000183145	13	751	54	160	6	40	11	14	4	3	3	606	30	589	11
ENSG00000183146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
ENSG00000183148	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000183150	18	407	27	171	133	154	109	18	61	19	47	120	10	288	36
ENSG00000183153	0	0	0	2	1	0	1	2	0	0	0	2	0	0	0
ENSG00000183154	19	37	53	110	88	31	19	25	4	31	16	18	3	9	12
ENSG00000183155	655	1242	406	817	686	923	555	432	692	693	702	1071	799	500	334
ENSG00000183160	752	170	108	251	384	93	524	6005	5114	2048	3177	19	1040	8	1723
ENSG00000183161	677	394	319	385	594	180	329	381	517	82	346	907	266	239	217
ENSG00000183166	26	819	2	17	7	192	4	7	0	1	14	8	6	65	5
ENSG00000183169	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000183171	19	30	25	4	3	56	57	1	9	0	0	3	0	30	12
ENSG00000183172	1058	2278	2325	1226	2255	2163	1184	1696	3100	1144	3771	3149	3300	974	1300
ENSG00000183185	0	0	0	0	1	0	3	0	0	2	1	0	0	0	0
ENSG00000183186	51	99	54	478	38	58	10	17	1	3	11	28	212	14	77
ENSG00000183196	177	3912	2824	1617	2450	877	59	32	22	15	19	121	12	1411	1266
ENSG00000183199	23	17	8	8	16	40	16	16	63	26	61	20	15	4	61
ENSG00000183206	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000183207	4298	7627	3694	3775	1928	7295	3505	4748	5874	8518	5051	6584	6771	2901	9229
ENSG00000183208	307	236	209	264	285	417	117	87	189	169	205	400	146	157	54
ENSG00000183230	3	478	534	54	121	3	6	3	17	1	7	164	5	20	29
ENSG00000183239	0	0	2	1	2	2	0	3	2	1	10	3	3	0	0
ENSG00000183242	12	0	0	3	6	0	7	702	1	0	1192	36	1217	234	0
ENSG00000183246	0	5	10	10	1	0	3	1	9	3	2	5	9	5	4
ENSG00000183248	67	13	26	12	144	124	5	22	7	49	5	201	194	6	16
ENSG00000183249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183250	107	112	117	292	119	88	119	111	58	91	156	45	137	99	72
ENSG00000183251	1	1	0	1	1	0	1	1	5	0	0	1	0	0	1
ENSG00000183255	14527	9307	11920	10445	14456	19765	14791	11421	14964	18866	10572	11037	11914	5349	20956
ENSG00000183258	3573	3313	3816	3511	3946	4375	4259	4280	5164	5453	5562	4893	5431	1340	2166
ENSG00000183260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183273	4	2	1	4	0	529	2	2	0	2	0	315	17	0	5
ENSG00000183281	11	4	3	9	3	7	7	5	3	6	9	3	3	15	4
ENSG00000183283	9546	8461	14178	10089	15566	13481	10933	11547	14915	10016	10805	8606	11242	1821	5745
ENSG00000183287	1127	128	44	12	107	0	2	20	733	908	4	8374	162	18	17
ENSG00000183291	7377	3924	4963	3783	6221	3762	6959	11431	14889	15406	6783	6529	2459	1409	10923
ENSG00000183292	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000183298	271	105	314	29	140	22	13	112	312	658	24	234	74	21	9
ENSG00000183303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000183304	0	9	0	0	2	1	0	0	0	1	0	0	1	0	0
ENSG00000183305	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000183307	28	102	73	51	23	2	44	144	68	41	304	38	15	40	17
ENSG00000183308	1	0	1	0	3	2	3	4	4	5	9	2	2	0	4
ENSG00000183309	1973	1409	1193	1299	3122	2708	1094	1546	724	2650	662	1911	583	933	2211
ENSG00000183310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183313	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000183317	2	4	3	2	7	3	0	7	1	1	4	2	5	1	4
ENSG00000183318	1	2	1	1	1	1	0	0	0	0	0	0	0	1	0
ENSG00000183323	558	482	489	371	703	534	444	315	331	567	546	744	283	210	585
ENSG00000183324	0	6	4	4	1	3	0	0	1	1	0	5	0	1	0
ENSG00000183336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183337	1118	7378	1992	3304	5320	6091	1140	538	1403	3456	380	3655	203	1596	2382
ENSG00000183340	724	1067	446	490	996	859	789	713	634	1910	283	450	159	543	1133
ENSG00000183346	29	170	71	17	336	7	7	29	3	16	11	180	103	21	87
ENSG00000183347	2	8	71	2	25	176	6	2	3	8	6	6	1	4	10
ENSG00000183354	971	1640	932	1170	2698	1856	1531	1628	3461	1592	551	1445	276	780	2339
ENSG00000183378	5	74	1	2	24	54	1	1	0	0	0	44	0	5	1
ENSG00000183379	16	19	43	3	17	6	3	21	5	5	9	0	0	10	27
ENSG00000183385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183386	4796	3640	1227	6130	7474	9794	2537	2397	2952	5898	2645	6647	5211	5776	6809
ENSG00000183389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183395	4	0	10	0	12	2	3	0	2	0	23	1	3	0	64
ENSG00000183396	1	0	2	0	0	1	1	3	1	2	0	0	6	1	1
ENSG00000183397	100	827	177	82	177	267	61	65	72	95	15	81	10	50	102
ENSG00000183401	913	588	823	804	491	643	332	408	392	520	1160	826	2144	176	215
ENSG00000183421	13	550	212	35	23	160	23	4	106	8	0	1	4	0	12
ENSG00000183423	45	22	28	7	28	9	11	9	2	0	0	9	1	0	7
ENSG00000183426	515	501	378	287	330	431	102	207	78	109	48	501	128	156	159
ENSG00000183431	4913	5328	5505	6622	6329	6863	4356	4416	7118	8555	2918	5852	3115	2453	7604
ENSG00000183432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183434	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000183439	20	13	40	0	73	50	15	18	56	3	2	0	13	41	42
ENSG00000183444	169	54	193	345	83	165	39	39	412	319	212	136	559	159	161
ENSG00000183454	1119	540	927	272	5358	133	21	8	236	220	51	3301	104	258	0
ENSG00000183458	104	419	126	98	593	388	109	154	50	165	0	218	4	114	230
ENSG00000183463	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ENSG00000183470	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1
ENSG00000183474	68	224	122	135	137	224	159	135	177	324	48	164	16	64	199
ENSG00000183475	794	1434	846	786	1460	1955	752	2502	1253	1527	408	975	292	442	1132
ENSG00000183476	9	81	9	13	7	12	7	4	1	10	0	11	1	23	30
ENSG00000183479	79	365	224	85	27	140	47	24	4	41	31	104	61	28	38
ENSG00000183484	181	45	287	28	269	14	86	239	45	178	592	22	39	44	70
ENSG00000183486	1831	1869	2541	968	807	307	3317	582	479	3100	5550	1492	471	1444	210
ENSG00000183495	3042	4043	2766	2459	3487	6633	2870	2364	4721	8307	1354	5686	2478	1981	2892
ENSG00000183496	891	1898	377	739	1708	1473	1081	1403	591	540	649	2508	59	624	1667
ENSG00000183506	168	237	649	238	479	141	216	498	475	66	55	462	85	210	1635
ENSG00000183508	1100	2584	4589	987	8357	4699	151	254	309	56	739	643	1204	434	132
ENSG00000183513	1489	1797	1647	1279	895	2284	1100	727	1582	434	973	1846	863	888	619
ENSG00000183514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183520	1951	2679	1224	3353	2242	3538	1999	1910	2728	2943	1527	5411	1206	2455	2907
ENSG00000183527	875	1836	919	769	1431	2269	1046	728	1506	1629	767	2107	1255	1055	1099
ENSG00000183530	1301	5173	1595	2010	2400	2939	1648	2471	3087	2765	957	3504	740	1165	2040
ENSG00000183535	4	0	0	0	1	1	0	3	2	0	0	1	0	1	1
ENSG00000183542	0	0	2	0	2	0	0	0	0	3	0	0	0	2	0
ENSG00000183549	51	285	2532	15	711	132	54	148	4	8	447	3	33	917	136
ENSG00000183559	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000183560	8	0	2	32	11	4	4	8	0	0	20	0	12	12	0
ENSG00000183562	1	9	0	2	1	9	3	2	3	3	0	3	0	4	5
ENSG00000183566	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183569	129	127	111	88	144	104	52	77	102	96	25	56	45	121	80
ENSG00000183570	17	15	13	4	2695	27	113	211	83	5	34	15	14	187	259
ENSG00000183571	229	10	280	4	34	279	2	9	0	0	1	1	0	176	32
ENSG00000183576	2025	6097	3658	4662	5095	5438	3074	3096	3335	6951	1833	1932	1848	3251	2466
ENSG00000183578	2657	2447	3058	2516	1078	2979	391	1109	1883	1077	609	5514	1953	2240	2814
ENSG00000183579	2	12	7	2	11	21	4	6	18	46	0	11	0	1	29
ENSG00000183580	2774	3960	3499	4607	4008	5434	6785	2047	3908	3228	1001	5013	6601	2828	5774
ENSG00000183586	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000183597	952	2138	1719	2152	3222	1117	1401	1100	1311	1383	1586	1923	1288	1231	896
ENSG00000183598	1	4	8	2	2	0	1	1	12	6	2	9	4	3	1
ENSG00000183604	14	42	9	13	69	38	42	33	40	42	0	34	3	12	46
ENSG00000183605	613	403	529	638	591	1027	437	830	1946	1188	1307	599	2520	354	869
ENSG00000183607	1	3	4	0	1	0	0	0	0	0	0	13	0	1	1
ENSG00000183615	1288	276	482	732	233	279	291	1422	130	706	1024	415	2579	301	285
ENSG00000183617	2191	3765	2228	1551	2043	1974	1199	1343	966	1298	3300	1057	3517	441	686
ENSG00000183621	694	606	796	923	665	532	493	614	1012	1373	799	1026	1145	554	1342
ENSG00000183624	2133	3201	3558	3812	3792	2855	2521	1968	1302	3745	1468	5005	3337	2262	4346
ENSG00000183625	7	0	0	1	5	0	1	4	4	2	0	1	0	0	0
ENSG00000183628	28	295	402	157	356	156	402	81	607	34	153	14	53	21	68
ENSG00000183629	0	0	1	0	0	13	0	0	2	0	0	0	0	0	0
ENSG00000183631	2	447	622	274	1	640	0	0	0	0	0	0	2	50	233
