TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000224794	0	0	0	0	0	0	1	0	1	1	1	0	0	0
ENSG00000224795	0	1	0	0	0	0	10	1	0	0	5	0	0	0
ENSG00000224796	0	2	0	0	1	1	11	1	1	0	1	0	3	3
ENSG00000224797	2	0	1	1	0	0	0	1	1	0	1	1	0	0
ENSG00000224799	5	4	5	1	10	1	2	10	6	16	6	1	7	3
ENSG00000224800	4	2	0	0	1	4	14	3	2	4	14	0	2	4
ENSG00000224802	0	0	0	1	0	0	0	1	3	0	0	0	2	0
ENSG00000224805	17	85	5	25	13	0	3	21	50	88	543	156	85	5
ENSG00000224806	0	0	0	0	0	0	0	1	2	0	0	0	0	1
ENSG00000224807	0	1	1	1	0	10	9	8	0	0	2	1	3	0
ENSG00000224808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224809	1	0	0	3	25	0	0	0	0	0	0	6	1	0
ENSG00000224810	3	1530	19	24	118	121	6	62	9	1	87	67	207	15
ENSG00000224812	6	2	0	0	4	4	9	0	1	1	6	2	10	12
ENSG00000224814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224816	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000224817	0	0	0	0	0	0	0	0	0	0	0	22	1	49
ENSG00000224818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224820	5	4	2	1	3	0	3	2	13	3	15	3	0	1
ENSG00000224821	1	2	0	1	0	0	3	0	3	2	0	2	0	2
ENSG00000224822	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000224825	3	1	3	1	0	0	9	0	0	6	0	0	0	0
ENSG00000224826	0	0	2	0	0	0	1	0	2	0	0	3	1	13
ENSG00000224827	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224829	1	3	1	0	1	0	3	0	2	0	2	0	1	1
ENSG00000224830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224831	67	48	10	23	15	10	29	19	39	20	40	16	22	22
ENSG00000224832	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224834	4	0	1	2	1	1	4	0	13	3	11	2	0	3
ENSG00000224836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224837	6	1	4	3	1	4	18	1	6	1	33	9	2	13
ENSG00000224839	13	1	2	2	2	0	4	3	20	2	9	11	3	5
ENSG00000224842	33	22	4	73	10	0	9	5	30	28	11	38	14	2
ENSG00000224843	59	29	13	27	10	32	6	48	134	17	32	43	18	77
ENSG00000224844	1	2	0	0	0	2	0	1	2	0	1	0	0	2
ENSG00000224846	1	4	1	1	8	1	2	0	1	0	1	10	2	0
ENSG00000224848	212	4	36	29	185	44	14	7	1	3	186	7	1	54
ENSG00000224851	0	0	0	0	0	0	0	0	0	1	0	1	1	0
ENSG00000224852	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000224853	2	8	0	0	9	1	0	2	2	1	8	8	6	2
ENSG00000224854	2	2	0	1	1	24	0	13	26	0	0	2	0	204
ENSG00000224855	8	3	1	0	3	1	1	9	5	3	6	0	1	4
ENSG00000224856	1	3	0	2	1	0	3	1	6	5	7	2	1	2
ENSG00000224857	0	0	0	0	1	3	0	6	0	0	0	0	2	1
ENSG00000224858	39	12	14	21	10	9	24	8	79	15	53	38	8	13
ENSG00000224860	0	0	0	0	3	0	0	0	0	0	0	0	1	0
ENSG00000224861	140	75	36	156	152	120	164	53	181	51	240	123	28	88
ENSG00000224863	0	6	0	2	0	1	0	2	2	0	1	15	0	0
ENSG00000224864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224866	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224870	1209	1445	907	2162	802	1052	1516	2186	1025	1501	2106	1709	948	2263
ENSG00000224873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224875	0	1	1	0	6	0	27	0	0	1	3	0	6	10
ENSG00000224876	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224877	734	1490	1745	2729	1637	408	1053	1304	1914	837	4028	2775	886	1910
ENSG00000224879	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224880	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000224881	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ENSG00000224883	7	0	0	4	0	2	1	3	4	10	5	2	2	1
ENSG00000224884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224885	1	11	1	0	9	6	4	5	0	2	8	7	0	15
ENSG00000224886	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224887	14	3	1	5	10	2	225	11	1	0	3	20	3	136
ENSG00000224888	58	28	11	5	17	49	21	12	25	71	29	75	30	61
ENSG00000224891	0	1	0	1	0	3	0	0	1	11	0	2	1	3
ENSG00000224892	18	35	5	19	36	37	38	36	79	60	96	27	16	26
ENSG00000224893	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSG00000224895	0	1	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224896	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224897	50	30	9	11	23	32	45	23	17	23	16	3	50	18
ENSG00000224899	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ENSG00000224901	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000224902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224903	17	18	1	2	10	1	2	5	7	31	13	1	2	22
ENSG00000224904	0	2	0	3	2	1	0	0	24	1	4	2	1	0
ENSG00000224905	3	12	3	7	6	6	7	11	14	54	9	9	5	6
ENSG00000224906	4	2	0	1	1	0	3	2	10	2	8	0	0	3
ENSG00000224907	1	0	0	0	0	0	0	0	4	0	1	1	0	1
ENSG00000224908	3	2	0	3	3	3	6	7	12	6	8	2	3	4
ENSG00000224910	2	0	0	0	0	0	0	0	0	0	4	1	0	0
ENSG00000224914	187	87	50	82	78	50	73	97	66	136	219	233	88	176
ENSG00000224916	593	36	7	10	34	14	16	3	3	8	6	345	0	8
ENSG00000224917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224918	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224920	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000224922	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224924	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000224927	0	0	0	0	0	0	0	0	0	0	0	3	0	1
ENSG00000224928	0	0	0	0	0	0	0	0	6	0	6	0	2	0
ENSG00000224931	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000224932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224933	1	5	2	1	7	4	4	7	3	0	9	1	3	4
ENSG00000224934	109	138	6	47	20	39	34	59	108	430	116	45	34	25
ENSG00000224935	1	0	0	0	0	0	0	0	1	4	0	0	0	0
ENSG00000224936	2	15	1	1	9	3	17	4	4	0	3	0	2	0
ENSG00000224939	2	2	2	0	0	0	1	1	2	1	1	0	1	6
ENSG00000224940	12	2	25	583	42	17	14	53	4	0	112	618	4	70
ENSG00000224942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224943	0	0	0	0	0	1	0	1	0	1	0	0	0	7
ENSG00000224944	0	0	0	0	2	0	0	0	1	0	0	0	0	2
ENSG00000224945	7	20	0	17	15	45	3	12	32	4	1	5	0	138
ENSG00000224946	1	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224947	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224948	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224949	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000224950	72	84	25	14	154	1280	326	52	2871	328	84	54	406	80
ENSG00000224953	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000224955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224957	313	0	13	12	3	2	3	21	208	10	1	0	47	1
ENSG00000224958	0	2	0	0	1	0	0	6	0	12	1	0	0	1
ENSG00000224960	0	0	0	0	0	1	0	4	0	207	0	0	2	87
ENSG00000224961	2	1	1	0	1	4	0	2	3	9	1	7	10	1
ENSG00000224962	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000224963	2	0	0	0	0	2	3	2	1	2	3	5	0	28
ENSG00000224964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224965	4	8	3	5	1	3	7	2	11	6	18	42	8	5
ENSG00000224966	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000224967	1	2	0	0	0	0	3	1	1	3	0	0	1	1
ENSG00000224968	0	1	1	0	1	3	0	0	0	0	0	0	2	2
ENSG00000224969	6	15	3	12	1	9	5	9	12	0	2	1	2	10
ENSG00000224970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224971	0	1	1	1	3	1	1	0	4	2	5	0	0	0
ENSG00000224972	0	0	2	1	0	0	0	0	0	0	0	0	0	0
ENSG00000224973	0	0	0	1	0	0	0	1	1	0	1	2	1	0
ENSG00000224975	44	35	18	20	25	32	30	65	65	101	61	44	14	54
ENSG00000224976	15	6	1	0	17	17	17	9	22	7	21	5	9	14
ENSG00000224977	0	9	0	3	0	1	2	1	1	2	3	8	2	10
ENSG00000224978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224980	0	1	0	0	0	2	0	0	2	0	1	0	0	0
ENSG00000224981	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000224982	17	28	17	20	14	109	10	6	11	12	58	3	28	41
ENSG00000224984	0	0	1	0	0	0	0	3	0	0	0	0	0	0
ENSG00000224985	1	0	0	1	0	1	3	0	1	3	3	1	0	0
ENSG00000224986	2	4	1	3	1	6	4	1	10	34	6	3	10	12
ENSG00000224987	1	0	0	1	1	0	0	1	2	1	0	0	0	1
ENSG00000224988	1	23	3	2	2	3	8	4	8	4	10	17	3	6
ENSG00000224989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224992	0	1	3	3	0	1	23	3	0	0	77	49	1	28
ENSG00000224993	12	4	10	8	5	7	14	3	40	5	209	13	3	8
ENSG00000224995	0	0	0	1	1	1	3	0	0	1	1	5	3	0
ENSG00000224999	4	0	1	0	0	0	1	3	0	0	0	0	0	4
ENSG00000225000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225002	0	0	0	0	2	0	1	0	0	0	0	0	0	2
ENSG00000225003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225005	0	2	0	0	0	0	0	0	6	0	2	0	0	0
ENSG00000225006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225007	1	0	1	1	0	0	0	1	0	0	2	3	5	1
ENSG00000225008	0	1	1	0	1	1	0	0	0	1	0	0	0	1
ENSG00000225011	0	0	0	0	0	0	0	0	0	0	1	4	0	0
ENSG00000225012	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000225014	1	0	0	0	0	0	0	0	1	0	2	0	2	1
ENSG00000225016	0	0	0	0	0	0	0	0	1	2	0	0	0	3
ENSG00000225017	0	2	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000225018	0	1	0	0	0	0	1	1	0	0	1	0	0	0
ENSG00000225022	12	13	7	5	10	2	14	10	26	8	26	8	4	14
ENSG00000225024	2	1	0	1	0	0	1	0	6	0	0	0	0	0
ENSG00000225025	0	0	1	0	0	0	2	0	0	0	0	0	0	0
ENSG00000225026	10	4	2	1	10	1	5	12	11	10	20	6	12	3
ENSG00000225027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225028	1	1	0	0	0	0	0	0	3	2	0	0	0	3
ENSG00000225031	396	164	242	84	436	335	179	115	349	149	498	233	219	535
ENSG00000225032	81	122	29	15	151	23	51	46	60	102	115	35	50	111
ENSG00000225036	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000225037	1	3	0	0	0	0	1	9	3	3	2	0	0	2
ENSG00000225039	4	11	8	5	0	12	3	6	2	3	11	12	1	6
ENSG00000225043	0	0	0	0	1	1	0	0	3	4	0	0	1	2
ENSG00000225044	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ENSG00000225045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225050	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225051	6	25	4	2	7	4	7	18	22	23	74	2	16	4
ENSG00000225053	2	0	0	0	1	0	0	0	1	0	1	0	0	2
ENSG00000225055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225056	0	0	0	1	0	0	0	0	0	0	0	0	1	2
ENSG00000225057	3	4	0	2	0	0	2	1	7	3	1	6	1	7
ENSG00000225058	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225062	0	53	2	18	7	5	1	5	0	0	38	58	0	7
ENSG00000225063	1	1	0	0	0	0	0	2	1	0	1	0	0	1
ENSG00000225064	0	0	0	1	3	1	0	4	1	0	5	2	0	0
ENSG00000225066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225067	59	22	14	18	35	28	31	22	103	32	158	42	22	45
ENSG00000225069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225071	5	4	4	5	2	7	9	5	12	12	9	9	1	1
ENSG00000225072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225075	5	8	7	2	1	3	10	12	12	10	4	3	3	10
ENSG00000225076	0	0	0	1	0	0	0	1	0	1	0	0	0	0
ENSG00000225077	2	91	95	57	21	86	61	84	42	130	111	417	7	22
ENSG00000225078	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225079	1	3	0	1	19	13	208	0	6	1	2	1	34	18
ENSG00000225080	3	5	0	1	0	3	1	4	4	7	2	0	0	8
ENSG00000225082	0	1	1	0	0	2	5	0	0	0	2	1	0	1
ENSG00000225083	0	22	0	1	3	3	4	5	0	0	0	5	0	2
ENSG00000225084	0	1	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000225085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225087	0	0	0	0	89	0	0	0	0	0	3	0	5	5
ENSG00000225091	15	13	13	4	7	8	4	19	12	22	4	10	4	10
ENSG00000225092	0	2	0	1	1	1	0	4	5	1	1	2	0	3
ENSG00000225093	86	19	16	18	12	35	45	25	228	42	101	28	18	40
ENSG00000225094	8	0	2	1	3	2	2	1	6	7	7	8	0	2
ENSG00000225096	51	12	35	27	85	59	19	23	60	105	108	5	62	26
ENSG00000225098	0	0	0	2	7	0	3	0	0	0	0	52	0	1
ENSG00000225099	2	1	1	2	2	1	8	4	10	2	10	1	2	1
ENSG00000225100	0	0	0	0	0	0	0	0	0	0	2	1	0	0
ENSG00000225101	1	1	0	0	2	4	7	0	10	86	5	0	0	7
ENSG00000225102	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225105	1	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000225106	1821	2744	1200	958	353	229	97	1243	4	1	2741	7202	49	1
ENSG00000225107	0	2	0	0	0	2	0	1	0	0	5	0	0	0
ENSG00000225108	1	0	0	1	0	0	1	0	1	0	7	8	0	7
ENSG00000225110	0	0	0	0	0	0	0	0	1	1	1	0	0	0
ENSG00000225111	1	3	0	1	6	8	2	0	1	0	6	6	2	2
ENSG00000225112	1	3	1	0	0	1	0	1	0	1	0	1	0	0
ENSG00000225113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225116	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225117	0	0	0	2	9	0	0	0	0	0	1	2	0	0
ENSG00000225118	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225121	0	0	0	0	0	0	0	0	3	0	0	0	0	1
ENSG00000225122	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225124	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225125	43	8	3	4	15	4	19	2	38	34	29	2	15	7
ENSG00000225126	0	0	0	0	1	0	0	0	3	0	0	0	0	1
ENSG00000225127	0	1	1	20	0	5	26	1	0	0	149	0	0	176
ENSG00000225128	1	0	0	0	1	0	0	0	25	0	69	0	0	114
ENSG00000225129	1	0	2	1	0	1	0	3	0	1	0	0	2	1
ENSG00000225131	34	42	15	25	34	24	270	37	67	57	150	143	59	99
ENSG00000225133	0	0	0	0	0	0	1	1	2	1	3	0	0	0
ENSG00000225136	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000225137	62	21	6	22	49	23	31	25	128	37	73	24	17	34
ENSG00000225138	1365	2468	313	219	1363	26	520	730	757	3754	391	1064	36	1998
ENSG00000225140	2216	37	4	145	69	94	38	79	18	103	212	44	97	118
ENSG00000225142	4	0	0	1	2	0	0	0	4	1	5	1	1	0
ENSG00000225144	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225146	2	21	1	0	2	3	1	1	1	2	2	1	1	3
ENSG00000225147	0	0	0	0	0	1	0	0	1	0	1	0	0	2
ENSG00000225148	0	1	0	0	2	0	30	0	0	0	0	0	0	0
ENSG00000225151	135	34	48	26	95	58	27	15	165	32	80	15	103	46
ENSG00000225152	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225154	1	0	3	0	0	0	0	0	3	1	1	0	0	1
ENSG00000225155	0	1	0	1	1	0	0	0	3	0	1	0	0	0
ENSG00000225156	2	32	0	1	0	5	3	1	0	0	7	13	1	0
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225159	88	26	11	22	49	18	57	20	101	11	111	16	8	28
ENSG00000225163	6	7	1	3	11	1	7	1	4	27	11	2	8	0
ENSG00000225165	0	0	0	0	0	0	0	0	1	1	4	1	0	0
ENSG00000225166	0	0	3	0	0	1	3	0	0	0	0	0	0	0
ENSG00000225167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225169	5	17	6	28	8	7	32	22	14	12	37	21	1	9
ENSG00000225170	10	0	1	0	0	0	6	1	7	1	5	0	1	0
ENSG00000225171	14	21	2	5	10	26	8	10	12	41	26	2	26	17
ENSG00000225172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225173	1	0	1	7	6	8	0	0	8	1	1	2	3	0
ENSG00000225174	0	0	0	0	0	0	0	0	1	4	0	0	0	0
ENSG00000225175	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000225176	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225177	197	353	104	349	347	569	107	569	193	633	258	1146	139	109
ENSG00000225178	7	1	1	4	4	1	6	2	19	2	19	7	0	3
ENSG00000225179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225180	1	6	1	2	0	1	0	6	0	0	4	0	0	3
ENSG00000225181	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000225182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225183	0	0	1	3	0	2	0	2	0	2	2	0	0	1
ENSG00000225185	1	1	2	1	0	0	2	3	6	3	3	1	0	2
ENSG00000225187	0	11	0	0	0	11	0	1	4	0	9	4	2	3
ENSG00000225189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225190	1790	2193	3324	1670	3681	1389	2260	1829	3130	2189	4075	6612	2116	1959
ENSG00000225191	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000225192	4	0	0	0	0	0	0	0	0	3	2	0	2	0
ENSG00000225193	22	2	0	3	2	8	5	3	57	10	37	12	2	6
ENSG00000225194	5	4	23	0	2	6	47	6	1	6	23	3	3	63
ENSG00000225195	3	2	1	1	0	0	2	0	2	0	0	1	0	0
ENSG00000225196	1	0	0	1	0	0	0	1	1	0	1	0	0	0
ENSG00000225198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225200	194	136	60	99	188	202	115	90	386	130	512	105	80	169
ENSG00000225203	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225205	25	29	5	11	36	51	79	28	51	60	14	6	20	33
ENSG00000225206	10	1	1	1	0	2	0	0	717	0	0	0	410	31
ENSG00000225208	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225210	47	25	11	72	26	35	41	24	138	344	278	26	72	116
ENSG00000225212	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225213	5	17	3	2	7	4	4	12	5	26	10	8	12	8
ENSG00000225214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225215	0	0	0	0	1	0	0	1	3	1	0	0	1	0
ENSG00000225216	26	16	2	8	5	16	9	9	52	12	30	1	33	41
ENSG00000225217	101	244	14	39	259	124	180	127	1196	27	12524	64	1214	384
ENSG00000225218	3	4	0	6	1	6	2	2	7	18	9	1	0	4
ENSG00000225221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225222	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225224	9	8	0	0	5	5	6	7	17	2	9	5	3	9
ENSG00000225225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225226	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000225230	10	2	1	0	1	3	1	1	7	3	3	2	1	1
ENSG00000225231	0	0	0	0	0	1	1	0	1	1	0	0	0	0
ENSG00000225233	1	1	0	0	0	0	0	0	0	1	0	0	0	2
ENSG00000225234	47	30	66	62	23	82	32	11	104	66	104	10	84	59
ENSG00000225235	0	3	2	0	3	1	4	3	0	1	11	3	2	1
ENSG00000225236	0	0	1	0	0	0	0	0	2	0	0	0	0	0
ENSG00000225238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225239	0	0	0	0	0	0	0	0	1	0	2	1	0	0
ENSG00000225240	1	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000225242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225243	0	0	0	0	0	0	0	0	0	0	0	1	2	1
ENSG00000225244	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225246	2	0	0	2	1	0	2	0	7	1	8	2	1	1
ENSG00000225249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225251	2	0	0	1	1	1	2	2	6	1	4	2	0	0
ENSG00000225253	0	0	1	0	1	1	0	0	0	0	0	1	0	0
ENSG00000225254	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225255	0	0	0	3	4	2	0	0	0	5	44	16	1	11
ENSG00000225256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225259	80	9	8	15	30	17	43	31	61	5	64	22	4	15
ENSG00000225263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225264	177	74	69	19	90	85	74	85	44	57	112	39	56	182
ENSG00000225265	111	174	18	103	50	38	79	183	48	53	384	164	84	97
ENSG00000225267	5	1	0	4	1	0	1	1	11	3	10	2	1	2
ENSG00000225269	0	0	0	0	0	6	0	2	0	1	0	3	0	0
ENSG00000225270	1	1	0	0	0	0	2	0	0	2	0	0	0	0
ENSG00000225271	0	0	0	0	0	0	0	1	0	1	2	0	0	0
ENSG00000225272	0	0	0	0	0	0	0	0	1	0	1	0	1	0
ENSG00000225275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225279	11	43	0	0	7	0	8	12	4	1	3	0	7	13
ENSG00000225280	22	0	10	2	6	7	0	52	0	182	0	0	2	2
ENSG00000225282	0	2	5	1	0	10	6	5	6	11	6	3	2	3
ENSG00000225284	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000225285	16	8	3	4	5	3	74	2	4	4	42	4	6	16
ENSG00000225286	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225289	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225292	3	0	0	0	0	0	0	0	6	8	11	0	3	0
ENSG00000225293	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ENSG00000225294	1	1	0	1	1	0	1	0	2	0	0	1	0	0
ENSG00000225295	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225297	1	2	0	0	0	1	0	0	2	1	1	0	0	0
ENSG00000225298	0	1	0	0	2	3	0	0	8	0	19	0	3	6
ENSG00000225299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225300	2	2	0	0	1	1	5	1	5	0	1	1	1	7
ENSG00000225303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225308	1	0	0	5	0	0	0	0	0	0	0	0	0	0
ENSG00000225310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225311	1	0	0	0	2	0	2	1	0	0	0	0	0	0
ENSG00000225313	93	341	63	75	124	175	84	234	219	210	78	65	111	347
ENSG00000225314	0	0	0	0	0	0	2	0	0	0	0	0	0	2
ENSG00000225315	0	0	0	2	0	0	1	1	6	3	1	0	0	9
ENSG00000225316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225321	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225325	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225326	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225328	0	1	28	90	63	0	0	3	0	1	0	22	0	0
ENSG00000225329	9	5	0	0	2	43	4	1	1	3	3	2	2	4
ENSG00000225330	0	1	0	2	21	0	0	2	0	0	0	2	0	0
ENSG00000225331	2	11	1	3	5	12	18	0	10	16	1	0	0	2
ENSG00000225333	0	1	1	0	2	1	0	1	2	2	0	0	0	1
ENSG00000225334	28	10	0	1	0	19	3	3	2	49	42	0	46	1
ENSG00000225335	67	60	17	41	48	43	35	104	83	13	67	71	10	16
ENSG00000225336	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000225337	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225338	27	8	5	4	19	1	17	4	30	5	33	10	4	11
ENSG00000225339	30	32	40	25	19	61	19	21	36	65	15	17	25	15
ENSG00000225341	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225342	2	2	2	4	3	4	18	6	5	1	123	7	2	3
ENSG00000225343	0	0	0	0	0	0	0	0	2	0	0	0	0	0
