TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000198130	2258	1655	740	779	1064	770	1001	3562	2355	589	943	1964	788	565
ENSG00000198131	2183	922	550	1559	908	1244	1668	1083	2150	1314	225	1216	579	1214
ENSG00000198133	1508	437	157	917	305	258	472	1282	486	247	111	1898	227	196
ENSG00000198134	33	9	10	16	51	14	36	43	32	24	33	29	19	13
ENSG00000198142	1639	2100	462	2363	1003	673	556	1624	864	2004	1284	1525	886	287
ENSG00000198146	1761	662	508	917	282	271	871	4701	2677	1238	222	2348	827	139
ENSG00000198153	5	0	0	16	2	1	0	0	0	0	0	1	0	0
ENSG00000198155	102	49	12	187	23	29	39	49	40	19	7	14	145	35
ENSG00000198156	10	1	2	0	2	8	7	4	14	1	18	26	21	10
ENSG00000198157	238	831	183	71	403	118	512	487	936	177	458	685	393	296
ENSG00000198160	4472	739	1404	1437	2669	1614	2620	2801	3852	2749	822	2741	1913	887
ENSG00000198162	9428	1230	1196	2240	1983	2036	2604	3661	3748	3548	1363	3163	2057	1720
ENSG00000198168	2131	1372	1000	686	1713	878	1650	3803	2555	578	866	3376	914	1428
ENSG00000198169	1761	329	452	706	508	792	1640	1961	1803	1397	715	1437	1124	1243
ENSG00000198171	5226	4818	1951	4031	2601	2064	2251	14617	2055	966	1962	4997	3454	3773
ENSG00000198173	1	0	0	1	0	0	2	0	0	0	0	0	0	0
ENSG00000198176	7415	2852	1832	4021	2979	2209	3713	6533	7391	3937	1796	8667	3287	2343
ENSG00000198178	45	3	0	6	1	1	8	7	41	1	0	29	4	0
ENSG00000198182	735	142	106	919	212	343	351	563	91	273	144	841	252	84
ENSG00000198183	20572	5	8	0	35	2098	312	2451	221	2	22596	1302	8475	411
ENSG00000198185	356	14	35	358	28	487	138	54	46	55	58	70	43	731
ENSG00000198189	2610	2142	1044	2296	3531	2368	4630	6739	10865	3155	4755	6205	2696	1705
ENSG00000198198	6449	867	1851	1223	1848	2873	2727	1621	3755	1361	1481	5085	1220	3239
ENSG00000198203	481	87	7902	70	478	1396	126	1076	5384	53	419	2499	77	1358
ENSG00000198205	351	146	100	160	134	96	205	135	59	88	109	631	127	75
ENSG00000198208	185	469	261	363	124	108	77	315	56	139	386	79	591	62
ENSG00000198211	0	12	3	0	0	2	1	1	11	1	1	0	2	0
ENSG00000198216	122	7	150	27	3	40	27	20	33	17	27	60	13	6
ENSG00000198217	1	3	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198218	4308	1854	2124	2553	2478	2468	3442	4515	5673	3983	2017	4114	2095	1731
ENSG00000198221	130	20	57	19	41	121	43	36	91	21	26	67	90	63
ENSG00000198223	2289	274	1124	577	1272	985	684	219	921	1132	124	1753	2250	409
ENSG00000198225	45	11	13	37	39	14	23	69	23	27	27	21	29	30
ENSG00000198231	19427	4266	6132	4898	5679	6443	8009	8030	12205	8427	3739	12487	3340	5916
ENSG00000198237	11	1	7	2	0	2	1	3	7	4	3	2	0	1
ENSG00000198242	21314	13446	12279	16437	22143	12287	20660	51097	32150	10434	10808	18497	10189	15491
ENSG00000198246	1950	645	537	997	669	433	1234	519	1259	820	741	1805	597	608
ENSG00000198251	36	0	0	0	0	5	6	0	5	0	22	114	4	2
ENSG00000198252	1740	1444	639	2748	782	1051	1612	1135	2584	1320	633	2595	1240	867
ENSG00000198258	3947	4142	3205	3821	6310	3265	6493	7226	2948	2830	3661	4709	4061	5554
ENSG00000198261	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000198265	7381	1616	1792	1549	2264	1786	2835	3314	6332	3890	1211	5826	1103	1315
ENSG00000198270	1846	586	397	202	308	390	896	941	584	200	975	1792	522	1279
ENSG00000198271	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000198276	4870	1934	1022	1237	1172	1889	2148	4507	1823	895	791	3803	1159	2395
ENSG00000198277	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198283	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198284	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000198286	4434	207	703	2164	889	2096	1599	176	1250	3988	186	3806	148	396
ENSG00000198298	344	123	103	186	34	81	237	113	279	218	44	114	230	229
ENSG00000198300	66	41	79	621	49	29	79	90	136	108	47	71	17	15
ENSG00000198301	2985	1935	840	2524	856	615	1450	2860	2885	2631	593	2518	1522	811
ENSG00000198312	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000198315	3502	842	882	1553	735	893	1572	3849	592	1557	950	3106	647	1326
ENSG00000198324	1779	476	1240	766	2806	1085	1262	809	941	905	890	925	834	841
ENSG00000198326	1	0	0	5	0	0	2	0	0	0	0	1	0	0
ENSG00000198331	664	380	180	348	168	227	410	598	441	340	331	343	704	137
ENSG00000198336	21	3	17	7	12	8	17	3	10	10	12	13	14	10
ENSG00000198342	117	31	51	83	51	42	67	21	254	96	29	45	39	47
ENSG00000198346	828	195	74	529	240	187	392	572	489	394	69	255	222	186
ENSG00000198353	1157	28	116	103	28	61	107	332	39	35	152	222	55	381
ENSG00000198354	1	10	0	0	1	25	0	37	0	3	1	17	0	3
ENSG00000198355	4976	6062	3181	2223	6232	7321	3609	7580	3048	2391	7068	9736	6441	6464
ENSG00000198356	4761	2475	1868	3533	3294	1745	3059	4013	4547	2768	1877	3632	3797	1320
ENSG00000198358	3	0	0	1	0	1	0	5	4	1	3	1	2	5
ENSG00000198363	13805	6527	10451	13131	5696	5167	16738	10145	115190	20305	6398	41658	9782	2675
ENSG00000198367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198369	4971	2039	2102	1167	5185	2123	1557	4638	6425	3771	1684	2728	1830	873
ENSG00000198373	7053	2321	1777	2388	2221	2472	3993	2807	3981	2504	1983	6334	2402	2372
ENSG00000198380	34694	5981	5347	3481	8096	3975	6219	16259	9883	10533	2945	12847	8950	3350
ENSG00000198382	3576	1192	553	1599	827	850	1285	1316	1655	1317	442	2436	1331	855
ENSG00000198390	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198393	1803	539	542	791	475	1074	831	1636	2346	1017	585	1275	616	1836
ENSG00000198398	0	0	1	0	0	0	0	0	0	0	0	0	0	9
ENSG00000198399	5920	1599	2055	1948	3422	2225	2954	4496	10110	2990	1508	7364	2280	1489
ENSG00000198400	74	22	40	33	18	32	77	44	58	26	32	70	22	27
ENSG00000198406	17	7	8	28	18	5	20	36	41	42	19	7	50	4
ENSG00000198408	11154	2579	3331	5371	3179	7276	7841	12759	11363	3984	5484	12938	3782	5728
ENSG00000198414	96	0	0	278	0	0	0	0	0	0	1	37	2	1
ENSG00000198416	37	7	3	25	13	9	26	2	44	6	2	31	26	5
ENSG00000198417	427	50	539	310	532	592	308	122	113	901	134	253	134	490
ENSG00000198420	2046	544	596	615	702	541	933	762	2499	639	325	813	487	266
ENSG00000198429	357	83	240	154	226	171	61	37	363	112	84	63	143	163
ENSG00000198431	14912	43858	3824	20612	4038	2932	10011	6323	39829	21826	21475	75928	19951	7398
ENSG00000198435	246	509	95	798	118	102	129	274	141	146	657	684	264	268
ENSG00000198440	363	130	65	422	151	136	168	151	282	156	24	135	87	26
ENSG00000198443	139	83	23	9	44	256	13	80	0	40	63	171	456	8
ENSG00000198445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198452	0	0	0	0	0	0	0	0	3	1	0	1	1	0
ENSG00000198453	515	221	203	635	229	158	265	61	151	345	42	379	125	50
ENSG00000198454	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198455	1036	815	307	546	577	320	661	654	1082	356	411	1668	512	317
ENSG00000198464	1917	449	331	959	680	635	1009	2281	1179	542	446	1250	489	673
ENSG00000198466	1695	431	562	600	476	937	862	1669	1103	625	253	1467	429	888
ENSG00000198467	4133	1798	5771	5115	4087	4303	9558	2432	2093	6335	1965	4463	2978	14735
ENSG00000198468	267	548	157	17	12	117	27	190	43	5	55	188	192	150
ENSG00000198471	1	0	1	0	5	5	0	0	4	0	0	6	0	2
ENSG00000198478	5950	2594	712	97	1496	1118	1652	2856	6777	267	4215	8359	9291	3207
ENSG00000198482	655	264	192	385	419	388	528	522	617	317	158	850	157	383
ENSG00000198483	251	81	127	88	243	360	145	71	192	119	65	283	52	67
ENSG00000198488	55	0	331	1	19	1420	739	871	20171	88	82	10	109	0
ENSG00000198491	0	0	3	0	0	0	0	0	1	0	0	1	0	0
ENSG00000198492	7872	2129	2224	3383	4900	3021	4248	6075	4447	3674	2317	5682	3841	2829
ENSG00000198496	952	115	248	126	130	470	291	250	756	203	305	511	1003	484
ENSG00000198498	1102	1013	501	722	714	441	848	1727	2018	1033	398	913	719	678
ENSG00000198502	29704	7467	6667	18179	18782	3776	17262	1912	62675	14193	2238	9085	4599	3320
ENSG00000198513	314	1771	429	106	305	358	414	569	357	267	255	703	337	80
ENSG00000198515	740	14	22	9	64	22	4	18	14	5	44	96	22	16
ENSG00000198517	2479	2730	1796	1522	1285	1659	1412	1712	2309	2494	2677	1817	2416	2587
ENSG00000198520	238	56	165	49	81	565	264	42	350	69	102	351	421	714
ENSG00000198521	2461	212	607	685	782	441	627	227	791	459	82	815	603	224
ENSG00000198522	3381	1709	1085	2455	2010	1283	2262	5208	2824	2422	960	4706	2160	1109
ENSG00000198523	312	150	51	333	275	101	643	106	93	1019	131	148	79	86
ENSG00000198526	0	2	0	1	3	0	0	0	2	1	0	0	0	0
ENSG00000198535	481	2060	598	36	487	129	465	19548	289	55	51	85	654	462
ENSG00000198538	1864	446	274	830	596	371	769	1026	212	814	148	349	685	253
ENSG00000198542	1360	1697	1641	851	904	140	964	719	457	2998	188	1031	405	260
ENSG00000198546	671	628	545	535	496	540	1241	1550	608	447	1926	1475	961	1527
ENSG00000198547	0	130	10	1	2	19	3	2	10	0	1	15	1	5
ENSG00000198551	1404	439	456	432	689	456	840	1395	1415	773	328	900	714	252
ENSG00000198553	24	10	7	17	10	63	5	39	18	1	17	15	21	41
ENSG00000198554	1057	1100	400	1450	286	862	830	1616	2605	840	235	2383	991	339
ENSG00000198555	1	2	1	17	3	0	2	0	0	1	0	82	0	27
ENSG00000198556	925	438	346	352	200	781	516	577	1328	216	403	933	474	715
ENSG00000198561	38380	9735	9571	15116	13062	11242	15117	18421	57099	17727	10074	31311	11163	10422
ENSG00000198563	9354	2205	2965	1904	1721	6034	4178	14589	10289	2375	3443	10249	2512	9345
ENSG00000198569	4	7	24	15	0	25	20	14	234	16	65	48	7	39
ENSG00000198570	5	0	0	2	2	5	1	3	2	2	4	19	1	2
ENSG00000198573	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSG00000198574	103	8	4	26	11	14	76	11	75	11	6	71	10	18
ENSG00000198576	25	11	9	10	23	24	29	28	8	27	31	25	3	22
ENSG00000198580	241	5	9	56	3	5	5	5	6	22	2	13	10	7
ENSG00000198585	3336	1329	1576	1830	2384	1732	2545	1828	10821	1741	1564	6337	1677	2214
ENSG00000198586	6118	3158	1390	4199	1931	1790	2594	5200	6157	3399	1834	7274	2436	1904
ENSG00000198589	6118	26480	2244	2056	3532	2040	3458	10366	8675	4963	1742	6385	2587	2679
ENSG00000198590	20	3	26	14	21	51	29	26	20	5	18	29	12	175
ENSG00000198597	2	0	11	1	1	3	3	91	3	0	1	0	1	0
ENSG00000198598	131	142	1269	358	451	243	69	321	946	151	70	232	357	48
ENSG00000198601	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198604	5896	2055	1342	6519	4449	2257	6332	6403	4521	2774	1493	6741	1620	1408
ENSG00000198610	46	2079	8	0	0	4	2	1	2	0	16	26	94	3491
ENSG00000198612	2492	2561	1090	1730	2247	1630	2145	3671	4629	2962	1349	2534	1275	1326
ENSG00000198618	1193	2466	863	1539	1185	1098	1428	2135	1525	1541	930	1274	841	1033
ENSG00000198624	2417	503	510	2369	1092	2258	2736	1041	1956	1099	902	3083	578	1382
ENSG00000198625	3246	979	1091	1205	1189	2209	2654	4104	1834	807	1974	3926	1098	2813
ENSG00000198626	141	16	22	66	53	52	101	119	47	79	82	220	2	35
ENSG00000198633	3	0	0	5	3	1	1	1	2	1	2	0	0	2
ENSG00000198642	4058	955	774	1414	936	457	2457	2865	4050	1773	988	4359	1144	650
ENSG00000198643	80	6	88	7	65	75	16	18	11	6	248	1404	14	199
ENSG00000198646	10187	2386	1812	5674	2626	1936	3788	8780	7064	4102	1919	8408	2478	2084
ENSG00000198648	3660	3033	1590	2337	3321	2210	1904	3810	4281	3200	953	7569	1572	973
ENSG00000198650	52	67	8	4	8	26	7	4	183	7	85	247	11	44
ENSG00000198658	13	1	0	5	1	1	2	6	8	3	4	17	5	2
ENSG00000198663	12041	4639	2913	5397	4001	3115	5747	5399	20951	6323	2814	11167	5712	4281
ENSG00000198668	24048	25375	9771	19255	12121	18782	16723	15352	18928	15772	14205	34772	13621	11986
ENSG00000198670	9	2	4	0	0	1	0	1	2	0	0	0	0	1
ENSG00000198671	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198673	87	17	13	13	27	17	33	142	37	12	19	27	22	31
ENSG00000198674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198677	9284	2426	1378	1785	1785	1458	3030	10737	4915	3192	2421	3449	1837	1904
ENSG00000198678	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000198680	958	86	284	695	300	257	615	1093	476	314	355	1845	239	396
ENSG00000198681	0	5	0	12	0	1	0	4	0	2	424	18	118	16
ENSG00000198682	14237	3736	3219	1395	1662	1119	2390	6733	4679	2386	822	2208	11965	419
ENSG00000198685	1	0	0	0	0	0	1	0	0	0	0	4	0	0
ENSG00000198689	2762	1233	1031	2680	1507	706	1391	2512	2215	1380	514	2391	735	442
ENSG00000198690	1174	506	537	544	230	473	699	2398	1175	601	249	1245	460	367
ENSG00000198691	2448	61	1922	75	11648	1717	86	46	20237	827	18	18229	9	87
ENSG00000198692	1	135	0	0	0	875	1117	1529	217	256	0	0	80	207
ENSG00000198700	14025	4745	2369	5927	3085	3338	6754	19486	5077	5194	4122	13452	4201	3284
ENSG00000198703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198707	2904	521	808	519	640	1009	711	1095	2154	1011	607	1044	657	822
ENSG00000198711	70	8	17	10	16	41	16	22	28	7	24	63	17	34
ENSG00000198715	7704	2313	1349	2499	2171	1454	4240	6559	2574	3226	1995	3683	6648	3439
ENSG00000198718	1271	763	493	1239	392	632	945	1018	1428	683	463	1602	594	322
ENSG00000198719	1029	881	240	582	104	229	163	2080	113	196	411	1540	228	95
ENSG00000198720	416	1334	269	142	554	367	636	1182	652	345	398	551	90	401
ENSG00000198721	1356	1524	788	2057	1270	996	1765	1470	476	1116	752	3982	2325	1846
ENSG00000198722	5108	6134	1370	1231	6003	2202	7166	11846	11010	2061	4985	5425	2893	5315
ENSG00000198723	22	338	22	8	5	6	21	199	1	0	90	29	66	192
ENSG00000198728	7838	1589	1642	1632	2188	2413	3656	5748	2884	1051	2946	6256	2863	3355
ENSG00000198729	1107	619	65	23	1099	1824	1102	484	25	249	175	1483	340	67
ENSG00000198730	6787	1647	1628	1903	2191	1591	2933	5123	5033	2028	1299	6756	1429	1035
ENSG00000198732	267	8056	4409	66	28	35	134	799	16	207	492	23	47	1125
ENSG00000198734	886	2167	94	271	109	717	233	441	8941	179	88	296	5107	94
ENSG00000198736	6514	4723	1764	1285	3268	1193	4369	1345	1949	1251	4576	10811	5190	8498
ENSG00000198738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198739	0	0	0	0	0	0	3	1682	1	0	18	0	0	0
ENSG00000198740	3398	1801	1641	1276	2296	1832	2255	2689	1986	1512	1638	4234	765	2164
ENSG00000198742	6616	1538	2152	4981	3287	2891	3781	2995	11061	4428	1828	6405	2456	3179
ENSG00000198743	2890	409	1906	1544	906	603	3150	5058	6338	5985	899	3061	1811	204
ENSG00000198744	25	38	68	43	28153	61	73	1389	14	41	213	68	43	291
ENSG00000198746	1557	506	423	566	717	557	822	885	777	524	385	1025	777	1237
ENSG00000198752	10236	5721	4061	9920	3324	5823	6095	6073	18097	4445	3360	21076	3440	3094
ENSG00000198753	1175	619	2024	293	1981	2226	1421	178	3355	669	371	1120	356	225
ENSG00000198754	1	16	33	9	7	30	19	12	6	12	5	22	2	11
ENSG00000198755	23812	12771	10258	15256	21474	10497	26165	57469	46776	15201	13917	17925	19300	13502
ENSG00000198756	73	16	46	22	10	85	67	114	53	14	18	145	23	11
ENSG00000198758	8	1225	0	1	1	28	5	0	2	7	16	29	505	5447
ENSG00000198759	1376	767	281	535	788	700	1296	707	152	541	468	761	162	147
ENSG00000198765	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000198768	34	74	71	404	31	61	150	81	14	258	11	121	23	74
ENSG00000198771	2494	536	326	1034	937	794	2161	399	1747	1026	205	2652	319	617
ENSG00000198774	586	251	7	21	465	112	276	336	683	26	106	675	296	109
ENSG00000198780	187	452	54	94	24	81	45	349	20	51	61	197	265	2
ENSG00000198783	1368	644	467	513	552	524	677	1243	717	573	326	1318	435	722
ENSG00000198785	253	58	22	91	25	22	123	22	178	60	23	302	82	14
ENSG00000198787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198788	3	0	6	0	0	5	0	3	3	2	3	11	2	73
ENSG00000198791	2783	3334	1161	2954	3546	1416	3062	7920	4356	2153	4449	3750	2515	1919
ENSG00000198792	7831	5047	3581	4101	3936	5684	6010	3440	7251	3451	2678	10494	5781	2492
ENSG00000198793	8942	3388	2028	3681	2580	2377	4556	4914	7870	2977	1507	7312	2377	1654
ENSG00000198794	639	2914	220	1299	423	1576	1423	1596	500	420	223	1004	2599	470
ENSG00000198795	489	182	592	107	244	255	358	3747	150	539	152	319	117	86
ENSG00000198796	106	75	128	162	56	66	122	32	26	233	33	64	16	34
ENSG00000198797	9	7	18	0	3	2	23	36	2	3	18	2	0	2
ENSG00000198798	0	0	0	0	0	0	0	0	0	0	0	1	0	3
ENSG00000198799	2180	422	467	588	636	1164	1164	913	2270	532	435	1001	574	1178
ENSG00000198805	2853	4331	1729	1584	1520	1754	2683	5789	2998	3439	2349	4149	4026	1362
ENSG00000198807	3962	300	105	22	309	710	309	16658	640	307	581	1036	474	321
ENSG00000198812	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198814	2903	270	171	420	420	330	638	1097	871	446	552	2218	5102	1191
ENSG00000198815	6547	2399	1961	2122	2412	2352	2731	6100	6262	3554	1604	5353	2267	2444
ENSG00000198816	3447	1693	1544	1799	2357	2039	2412	2543	264	787	1883	2550	870	2645
ENSG00000198818	4081	474	786	1161	2051	1650	2487	2316	2373	1478	1104	2456	2288	1855
ENSG00000198821	980	245	71	373	229	890	1420	156	725	167	79	1500	181	286
ENSG00000198822	10	6	0	0	0	24	3	2	1	0	0	8	1	9
ENSG00000198824	2082	703	780	1447	724	594	982	1727	2183	985	465	2734	767	460
ENSG00000198825	1524	487	762	860	612	1067	2615	1966	1150	1582	569	2205	1213	449
ENSG00000198826	989	1982	305	2027	258	620	852	4893	3989	1142	557	2166	2386	743
ENSG00000198829	586	6095	183	267	361	71	327	94	963	334	46	375	71	21
ENSG00000198830	16442	8085	4861	6188	6639	5670	11106	14441	17800	6902	3857	14831	9069	4969
ENSG00000198832	5060	642	2435	2703	3201	1656	2464	706	1407	1389	1059	2371	4776	2517
ENSG00000198833	10473	3836	1619	6130	4416	4220	7327	5278	4456	4875	3026	7171	3589	3789
ENSG00000198835	90	34	18	39	59	75	137	237	27	68	43	55	24	31
ENSG00000198836	5244	4306	1569	4080	1944	1856	2507	6310	7389	3276	1704	10883	3129	1760
ENSG00000198837	6465	3322	1582	3262	1388	3500	4335	9338	4436	2338	2344	8802	2073	3186
ENSG00000198838	77	14	328	35	19	213	27	84	80	51	55	60	17	35
ENSG00000198839	1993	855	631	723	1128	615	1268	1347	3770	779	455	1527	1126	510
ENSG00000198841	946	320	312	404	442	439	522	378	522	500	258	598	1208	619
ENSG00000198842	11	0	6	0	7	3	15	4	6	9	0	15	1	6
ENSG00000198843	6329	3824	2306	4219	3458	3084	4181	4207	8110	4623	2427	10275	9660	2605
ENSG00000198844	1031	238	198	294	348	227	499	342	363	421	332	405	246	308
ENSG00000198846	664	1268	65	374	885	332	783	6055	330	269	135	675	64	96
ENSG00000198848	2216	1759	1010	356	566	747	982	753	320	1199	958	135783	196	396
ENSG00000198851	2795	656	257	1530	970	3888	3693	435	2385	624	263	3904	462	826
ENSG00000198853	1544	872	1008	1239	955	994	942	1187	1126	1661	492	2656	665	743
ENSG00000198854	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000198855	1160	684	372	645	407	317	744	902	857	653	554	648	524	235
ENSG00000198856	8504	5146	2115	3456	3935	2510	3618	8411	4649	4781	1743	3999	5020	2978
ENSG00000198857	9	12	1	12	281	74	9	10	4	9	20	11	3	3
ENSG00000198858	8452	6166	5754	3423	4549	4391	4740	5606	5044	3496	3837	6497	2613	4882
ENSG00000198860	4449	1081	799	1442	972	1217	2778	3783	1475	1036	1710	3668	2100	805
ENSG00000198862	3069	1046	917	1249	980	546	1333	3114	2485	2160	565	1477	923	271
ENSG00000198863	2443	1623	949	1133	1221	1398	1187	2601	5065	1013	982	3045	3118	996
ENSG00000198865	147	45	42	37	77	74	97	51	54	48	34	73	27	54
ENSG00000198868	5	0	2	3	5	19	5	4	1	0	11	4	33	18
ENSG00000198870	48	24	31	31	49	57	88	64	40	14	50	107	26	103
ENSG00000198873	1426	426	175	660	373	636	1188	1447	839	796	532	1174	303	284
ENSG00000198874	1660	732	518	1435	648	777	978	1823	2461	1135	468	1875	713	673
ENSG00000198876	8747	4549	1365	2882	4351	3182	5491	13557	8037	3894	2339	8976	2119	1446
ENSG00000198879	1405	919	256	803	447	842	1307	486	1535	571	188	1925	260	596
ENSG00000198881	14	10	1	6	9	11	24	15	8	2	1	18	7	7
ENSG00000198883	62	10	79	3	1	8	13	2	11	1	3	13	54	23
ENSG00000198885	236	101	39	214	123	198	252	138	217	97	38	278	93	81
ENSG00000198887	2291	869	733	1438	1334	1265	1667	4380	3063	1627	2219	4778	952	673
ENSG00000198889	1	0	0	0	0	10	0	0	0	0	0	0	0	2
ENSG00000198890	1373	766	361	500	1175	600	228	1342	488	643	75	924	1307	610
ENSG00000198892	2948	1051	621	665	1055	914	1599	866	764	638	358	1314	1242	873
ENSG00000198894	2291	1259	662	1129	607	1038	1231	1857	2778	843	822	1333	1224	539
ENSG00000198898	10335	4891	2354	5017	5403	2974	6589	7880	8623	7246	2121	8743	8249	1575
ENSG00000198900	17153	4271	3120	5754	10961	4396	7959	12355	15339	12753	3074	8890	5332	2853
ENSG00000198901	2300	3048	722	3767	696	1125	1914	7742	3976	1809	1281	4685	3388	1880
ENSG00000198908	450	371	101	60	237	105	362	806	179	255	198	158	37	130
ENSG00000198909	4247	1067	1392	2280	1407	1694	2581	1283	4629	2289	684	3946	702	750
ENSG00000198910	62	33	34	4367	21	108	127	16	135	349	17	274	2	17
ENSG00000198911	6636	9181	7279	6091	7409	6617	10878	9000	15863	5146	4346	22774	11812	3030
ENSG00000198912	1975	892	432	897	861	934	1332	1424	1791	894	571	1941	1673	663
ENSG00000198914	0	325	1	24	0	0	0	0	0	0	0	3	2	1
ENSG00000198915	1266	55	186	1197	791	127	425	32	4616	946	43	1907	1752	1480
ENSG00000198917	1759	1125	745	1433	1208	1324	1757	2806	2022	928	1336	2549	756	1785
ENSG00000198918	5497	2790	1864	4120	12260	3393	8269	16905	6838	3517	4333	4238	4018	5770
ENSG00000198919	1399	628	455	367	540	1219	896	1225	3726	576	238	1860	1195	519
ENSG00000198920	1979	307	485	1248	549	810	929	1529	1289	1279	445	1387	407	905
ENSG00000198923	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000198924	1857	983	269	673	308	451	700	2496	1187	757	1972	1807	2798	847
ENSG00000198925	6066	4561	2547	3432	3308	3185	4482	5890	3972	3584	2814	8495	1796	3990
ENSG00000198929	441	73	96	13	139	76	208	95	278	312	72	410	49	31
ENSG00000198930	13	1791	1	6	0	175	21	26	0	0	3	3	968	2241
ENSG00000198931	5279	4165	3460	3500	4356	3609	5129	2978	7002	2072	5259	5541	6017	9515
ENSG00000198932	319	170	430	100	98	285	398	272	166	162	194	401	53	134
ENSG00000198933	3687	417	549	427	1065	1396	1151	1800	1168	660	543	1145	935	1359
ENSG00000198934	383	427	101	312	377	219	85	185	276	95	36	537	150	98
ENSG00000198937	2048	1050	248	565	548	464	1096	1680	633	626	442	1326	1445	984
ENSG00000198939	161	8	41	33	35	16	66	12	30	37	15	15	13	8
ENSG00000198944	37	121	17	26	14	14	2	9	3	2	4	16	105	70
ENSG00000198945	2134	289	239	160	258	566	627	1200	1137	412	285	1738	455	197
ENSG00000198947	1956	253	150	126	541	424	782	4039	111	236	379	2115	1015	671
ENSG00000198948	152	39	125	141	50	31	73	116	28	331	61	280	64	51
ENSG00000198951	6902	2777	4114	2644	3676	2583	3472	2192	3853	3153	1365	5799	4564	1659
ENSG00000198952	16247	5900	2859	5293	4170	6141	10481	19417	9142	7388	4340	10724	8873	6173
ENSG00000198954	2299	1487	918	1019	812	786	1232	2793	1425	2112	1158	1904	1699	602
ENSG00000198959	37651	6461	6645	62081	15271	12733	26512	12642	59022	25647	6405	120298	35066	6249
ENSG00000198960	839	435	296	250	656	444	781	705	657	404	479	1202	763	538
ENSG00000198961	11498	2959	2200	3253	3027	1716	4792	9748	8368	8146	3077	6568	3075	1147
ENSG00000198963	40	25	82	32	29	15	242	408	6	43	430	23	3	43
ENSG00000198964	2382	966	910	1385	1755	673	1771	2089	7688	3981	864	1316	1082	539
ENSG00000198965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198967	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000198972	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198973	0	0	0	0	0	0	0	0	0	0	1	0	0	4
ENSG00000198974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198975	0	0	1	0	0	0	0	0	3	0	0	0	0	0
ENSG00000198976	10	4	7	0	5	33	2	3	17	1	23	57	3	38
ENSG00000198982	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198984	0	0	0	0	0	0	0	1	1	0	0	3	1	0
ENSG00000198987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198995	2	0	0	0	0	0	0	1	0	0	0	1	1	0
ENSG00000198997	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000199001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199012	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199023	8	0	1	2	2	2	1	1	8	0	2	4	1	9
ENSG00000199024	10	9	10	8	6	3	6	3	8	7	4	8	2	8
ENSG00000199025	0	0	0	0	0	0	0	0	1	0	0	0	0	0
